sample_name;Treatment;Tolerance;Time;Tol
C577_1_6h;CONT;577;T0;ST
C577_2_6h;CONT;577;T0;ST
NS577_1_6h;NaCl;577;T0;ST
NS577_2_6h;NaCl;577;T0;ST
C577_2_12h;CONT;577;T30;ST
C577_3_12h;CONT;577;T30;ST
NS577_1_24h;NaCl;577;T30;ST
NS577_2_24h;NaCl;577;T30;ST
NS577_3_24h;NaCl;577;T30;ST
C670_1_6h;CONT;670;T0;ST
C670_2_6h;CONT;670;T0;ST
C670_3_6h;CONT;670;T0;ST
NS670_1_6h;NaCl;670;T0;ST
NS670_2_6h;NaCl;670;T0;ST
NS670_3_6h;NaCl;670;T0;ST
C670_1_12h;CONT;670;T30;ST
C670_2_12h;CONT;670;T30;ST
NS670_1_24h;NaCl;670;T30;ST
NS670_2_24h;NaCl;670;T30;ST
NS670_3_24h;NaCl;670;T30;ST
C227_1_6h;CONT;227;T0;NT
C227_2_6h;CONT;227;T0;NT
C227_3_6h;CONT;227;T0;NT
NS227_1_6h;NaCl;227;T0;NT
NS227_2_6h;NaCl;227;T0;NT
NS227_3_6h;NaCl;227;T0;NT
C227_1_12h;CONT;227;T30;NT
C227_2_12h;CONT;227;T30;NT
C227_3_12h;CONT;227;T30;NT
NS227_1_24h;NaCl;227;T30;NT
NS227_2_24h;NaCl;227;T30;NT
C460_1_6h;CONT;460;T0;NT
C460_2_6h;CONT;460;T0;NT
C460_3_6h;CONT;460;T0;NT
NS460_1_6h;NaCl;460;T0;NT
NS460_2_6h;NaCl;460;T0;NT
NS460_3_6h;NaCl;460;T0;NT
C460_1_12h;NaCl;460;T30;NT
C460_2_12h;CONT;460;T30;NT
C460_3_12h;CONT;460;T30;NT
NS460_1_24h;NaCl;460;T30;NT
NS460_2_24h;NaCl;460;T30;NT
NS460_3_24h;NaCl;460;T30;NT
C577_3_6h;CONT;577;T0;ST
NS577_3_6h;NaCl;577;T0;ST
C577_2_12hA;CONT;577;T30;ST
C670_2_12hA;CONT;670;T30;ST
NS227_3_24h;NaCl;227;T30;NT
A14T01;CONT;14;T0;NT
A14T02;CONT;14;T0;NT
A14T03;CONT;14;T0;NT
A14NT01;NaCl;14;T0;NT
A14NT02;NaCl;14;T0;NT
A14NT03;NaCl;14;T0;NT
A14T501;CONT;14;T30;NT
A14T502;CONT;14;T30;NT
A14T503;CONT;14;T30;NT
A14NT501;NaCl;14;T30;NT
A14NT502;NaCl;14;T30;NT
A14NT503;NaCl;14;T30;NT
A827T01;CONT;287;T0;ST
A827T02;CONT;287;T0;ST
A827T03;CONT;287;T0;ST
A827NT01;NaCl;287;T0;ST
A827NT02;NaCl;287;T0;ST
A827NT03;NaCl;287;T0;ST
A827T501;CONT;287;T30;ST
A827T502;CONT;287;T30;ST
A827T503;CONT;287;T30;ST
A827NT501;NaCl;287;T30;ST
A827NT502;NaCl;287;T30;ST
A827NT503;NaCl;287;T30;ST
