genes	cluster
X110693242	1
X110695918	1
X110698898	1
X110696142	1
X110713808	1
X110717702	1
X110689255	1
X110725514	1
X110714799	1
X110683275	1
X110701301	1
X110682130	1
X110715089	1
X110715536	1
X110717753	1
X110735567	1
X110736163	1
X110701034	1
X110699526	1
X110694523	1
X110738346	1
X110682543	1
X110716700	1
X110700579	1
X110700336	1
X110693714	1
X110690672	1
X110734130	1
X110693173	1
X110720350	1
X110694661	1
X110724534	1
X110690669	1
X110682225	1
X110687452	1
X110737022	1
X110695977	1
X110693700	1
X110735383	1
X110721497	1
X110697132	1
X110725652	1
X110738480	1
X110739588	1
X110698607	1
X110715590	1
X110726421	1
X110732736	1
X110733458	1
X110720176	1
X110739296	1
X110690675	1
X110708634	1
X110690807	1
X110698176	1
X110714977	1
X110689598	1
X110694744	1
X110701744	1
X110729092	1
X110716734	1
X110728728	1
X110734507	1
X110711089	1
X110709916	1
X110716355	1
X110692760	1
X110693550	1
X110703616	1
X110721130	1
X110718641	1
X110703940	1
X110740059	1
X110702576	1
X110722763	1
X110707641	1
X110702083	1
X110702384	1
X110715500	1
X110725859	1
X110731133	1
X110700406	1
X110714746	1
X110720575	1
X110684152	1
X110737051	1
X110726227	1
X110701972	1
X110707650	1
X110685768	1
X110687580	1
X110716435	1
X110724537	1
X110696120	1
X110707759	1
X110705586	1
X110711687	1
X110730335	1
X110731746	1
X110717859	1
X110714492	1
X110739122	1
X110707817	1
X110712604	1
X110693525	1
X110711663	1
X110702835	1
X110708023	1
X110715942	1
X110713810	1
X110693707	1
X110714649	1
X110720086	1
X110707110	1
X110725425	1
X110700102	1
X110695300	1
X110729818	1
X110736984	1
X110698297	1
X110696133	1
X110698296	1
X110695063	1
X110714789	1
X110685944	1
X110683635	1
X110698140	1
X110716097	1
X110683835	1
X110687226	1
X110711884	1
X110739511	1
X110723974	1
X110699163	1
X110718427	1
X110729730	1
X110690676	1
X110697152	1
X110732640	1
X110724356	1
X110731398	1
X110732040	1
X110712551	1
X110737723	1
X110697190	1
X110710195	1
X110716991	1
X110702040	1
X110729893	1
X110704154	1
X110733033	1
X110691791	1
X110711452	1
X110733873	1
X110711375	1
X110710540	1
X110722735	1
X110709609	1
X110727712	1
X110727586	1
X110684621	1
X110711703	1
X110717386	1
X110710556	1
X110698148	1
X110710656	1
X110731378	1
X110706602	1
X110695391	1
X110692705	1
X110707935	1
X110699081	1
X110730085	1
X110732547	1
X110685850	1
X110726729	1
X110688662	1
X110691922	1
X110724176	1
X110683963	1
X110697416	1
X110705060	1
X110722599	1
X110729778	1
X110687652	1
X110731456	1
X110733567	1
X110685540	1
X110714366	1
X110731309	1
X110704793	1
X110690871	1
X110716416	1
X110693103	1
X110711175	1
X110708474	1
X110701465	1
X110715680	1
X110693962	1
X110694521	1
X110728087	1
X110705304	1
X110700646	1
X110686449	1
X110729147	1
X110738086	1
X110687080	1
X110725578	1
X110686969	1
X110719505	1
X110728768	1
X110738363	1
X110720352	1
X110719274	1
X110733191	1
X110717125	1
X110705914	1
X110700281	1
X110731244	1
X110701104	1
X110681633	1
X110700982	1
X110700800	1
X110727128	1
X110725726	1
X110738692	1
X110682981	1
X110723729	1
X110702412	1
X110710686	1
X110695192	1
X110717458	1
X110695319	1
X110728156	1
X110690639	1
X110701883	1
X110718644	1
X110681867	1
X110722701	1
X110711732	1
X110732296	1
X110705555	1
X110708478	1
X110683957	1
X110719325	1
X110697154	1
X110690983	1
X110720182	1
X110684247	1
X110704593	1
X110719441	1
X110711061	1
X110713789	1
X110712694	1
X110697163	1
X110713990	1
X110703458	1
X110725568	2
X110726979	2
X110716842	2
X110697191	2
X110714122	2
X110716510	2
X110720128	2
X110700609	2
X110723686	2
X110707774	2
X110738975	2
X110690449	2
X110711059	2
X110721514	2
X110727129	2
X110687806	2
X110731582	2
X110693197	2
X110704164	2
X110716576	2
X110705861	2
X110734228	2
X110714036	2
X110718996	2
X110719847	2
X110710762	2
X110733885	2
X110692977	2
X110726440	2
X110736768	2
X110725774	2
X110716860	2
X110701965	2
X110681931	2
X110691567	2
X110699173	2
X110723935	2
X110707669	2
X110683425	2
X110714743	2
X110724145	2
X110697137	2
X110705686	2
X110739990	2
X110699228	2
X110682546	2
X110685979	2
X110714462	2
X110716158	2
X110707350	2
X110737647	2
X110702695	2
X110712462	2
X110725251	2
X110715492	2
X110738435	2
X110687453	2
X110693453	2
X110702440	2
X110690671	2
X110684270	2
X110734730	2
X110738843	2
X110701049	2
X110722324	2
X110726953	2
X110723937	2
X110685228	2
X110714610	2
X110723931	2
X110706373	2
X110684982	2
X110681983	2
X110709565	2
X110699293	2
X110721887	2
X110712188	2
X110700145	2
X110732521	2
X110702784	2
X110719466	2
X110681975	2
X110718807	2
X110687633	2
X110719662	2
X110716463	2
X110736697	2
X110713805	2
X110725512	2
X110717251	2
X110736127	2
X110729762	2
X110736634	2
X110733311	2
X110723629	2
X110730556	2
X110726327	2
X110695141	2
X110683416	2
X110684312	2
X110729752	2
X110711639	2
X110730276	2
X110723951	2
X110724627	2
X110707304	2
X110708017	2
X110728204	2
X110710267	2
X110714921	2
X110683440	2
X110733398	2
X110687327	2
X110690907	2
X110721694	2
X110731260	2
X110734728	2
X110685564	2
X110730978	2
X110705154	2
X110715718	2
X110714579	2
X110728249	2
X110698783	2
X110682373	2
X110682502	2
X110688346	2
X110724563	2
X110736388	2
X110712540	2
X110728981	2
X110727511	2
X110705788	2
X110730557	2
X110697188	2
X110728250	2
X110691524	2
X110686400	2
X110728613	2
X110722310	2
X110721919	2
X110705387	2
X110723936	2
X110725166	2
X110715319	2
X110729559	2
X110725633	2
X110736211	2
X110713142	2
X110721028	2
X110717357	2
X110729844	2
X110732514	2
X110709571	2
X110706486	2
X110700494	2
X110729735	2
X110687271	2
X110720615	2
X110730559	2
X110734036	2
X110740228	2
X110685807	2
X110740036	2
X110688521	2
X110702434	2
X110705024	2
X110713393	2
X110689711	2
X110728061	2
X110714139	2
X110721356	2
X110734452	2
X110691211	2
X110690727	2
X110701012	2
X110718704	2
X110710514	2
X110729500	2
X110729759	2
X110723389	2
X110705585	2
X110716410	2
X110704632	2
X110688021	2
X110723942	2
X110712220	2
X110715346	2
X110685763	2
X110689662	2
X110699237	2
X110724433	2
X110701888	2
X110735177	2
X110689717	2
X110707514	2
X110710738	2
X110719667	2
X110690049	2
X110681938	2
X110709060	2
X110687985	2
X110734409	2
X110725443	2
X110730131	2
X110695099	2
X110716634	2
X110686250	2
X110738345	2
X110709735	2
X110731462	2
X110705715	2
X110722664	2
X110689649	2
X110733571	2
X110710761	2
X110721215	2
X110688726	2
X110714046	2
X110684278	2
X110709782	2
X110721474	2
X110712184	2
X110734293	2
X110740226	2
X110711398	2
X110726829	2
X110735197	2
X110735831	2
X110716244	2
X110688142	2
X110699073	2
X110711727	2
X110688187	2
X110690943	2
X110716548	2
X110699181	2
X110687953	2
X110699013	2
X110719498	2
X110691777	2
X110727963	2
X110684166	2
X110701920	2
X110715545	2
X110691916	2
X110726815	2
X110698037	2
X110722435	2
X110738353	2
X110712365	2
X110700495	2
X110691395	2
X110718452	2
X110722322	2
X110709826	2
X110727995	2
X110702480	2
X110712772	2
X110687490	2
X110705508	2
X110733330	2
X110730879	2
X110705957	2
X110694728	2
X110713829	2
X110717404	2
X110719663	2
X110707919	2
X110695095	2
X110714855	2
X110731103	2
X110695743	2
X110723234	2
X110730869	2
X110699008	2
X110688385	2
X110720876	2
X110712641	2
X110717151	2
X110705148	2
X110683521	2
X110736483	2
X110699271	2
X110724264	2
X110711714	2
X110682351	2
X110711840	2
X110713545	2
X110732737	2
X110740319	2
X110691233	2
X110717855	2
X110723753	2
X110691374	2
X110719387	2
X110682294	2
X110710793	2
X110693822	2
X110700126	2
X110682527	2
X110732555	2
X110686939	2
X110685204	2
X110728065	2
X110715859	2
X110738375	2
X110695140	2
X110715360	2
X110718552	2
X110717854	2
X110697943	2
X110737380	2
X110725730	2
X110728089	2
X110695077	2
X110698436	2
X110738734	2
X110703815	2
X110739398	2
X110697412	2
X110724687	2
X110704170	2
X110732595	2
X110690454	2
X110701163	2
X110706627	2
X110728017	2
X110729737	2
X110688999	2
X110690396	2
X110692989	2
X110718679	2
X110726545	2
X110739617	2
X110695992	2
X110733312	2
X110730525	2
X110739431	2
X110705605	2
X110722603	2
X110718531	2
X110712610	2
X110713914	2
X110713889	2
X110684864	2
X110714030	2
X110690704	2
X110731641	2
X110692991	2
X110715931	2
X110702757	2
X110708587	2
X110715085	2
X110719696	2
X110718526	2
X110699256	2
X110699749	2
X110684288	2
X110722666	2
X110721810	2
X110733309	2
X110721970	2
X110729478	2
X110715022	2
X110685553	2
X110687903	2
X110723923	2
X110726546	2
X110707070	2
X110688520	2
X110697876	2
X110712352	2
X110718792	2
X110718858	2
X110700624	2
X110703375	2
X110710853	2
X110694878	2
X110708084	2
X110682878	2
X110711014	2
X110718793	2
X110721014	2
X110701098	2
X110688515	2
X110702076	2
X110735075	2
X110699951	2
X110717792	2
X110702497	2
X110704923	2
X110718741	2
X110689735	2
X110728940	2
X110729764	2
X110736427	2
X110692773	2
X110688295	2
X110687240	2
X110734720	2
X110688217	2
X110729700	2
X110724857	2
X110681811	2
X110708076	2
X110726396	2
X110729524	2
