genes	cluster
X110693242	1
X110725568	1
X110726979	1
X110695918	1
X110716842	1
X110697191	1
X110714122	1
X110720128	1
X110698898	1
X110707774	1
X110717702	1
X110725514	1
X110721514	1
X110705613	1
X110687806	1
X110704164	1
X110736108	1
X110701301	1
X110682130	1
X110715089	1
X110715536	1
X110717753	1
X110718996	1
X110710762	1
X110736163	1
X110692977	1
X110694523	1
X110716860	1
X110701965	1
X110681931	1
X110738346	1
X110691567	1
X110716700	1
X110707669	1
X110714743	1
X110700579	1
X110724145	1
X110716267	1
X110700336	1
X110705686	1
X110693714	1
X110739990	1
X110734130	1
X110720877	1
X110699228	1
X110682546	1
X110685979	1
X110714462	1
X110707350	1
X110737647	1
X110682225	1
X110712462	1
X110725251	1
X110715492	1
X110693700	1
X110735383	1
X110697403	1
X110721497	1
X110725652	1
X110693453	1
X110690671	1
X110738843	1
X110726421	1
X110723937	1
X110685228	1
X110723931	1
X110706373	1
X110733458	1
X110720176	1
X110684982	1
X110739296	1
X110697822	1
X110690675	1
X110699293	1
X110708634	1
X110721887	1
X110698176	1
X110732521	1
X110694744	1
X110702784	1
X110701744	1
X110707762	1
X110681975	1
X110729092	1
X110718807	1
X110687633	1
X110719662	1
X110716734	1
X110728728	1
X110725512	1
X110717251	1
X110736127	1
X110736634	1
X110723629	1
X110726327	1
X110695141	1
X110683416	1
X110716355	1
X110682075	1
X110684312	1
X110729752	1
X110711639	1
X110730276	1
X110723951	1
X110693550	1
X110724627	1
X110707304	1
X110703616	1
X110708017	1
X110701087	1
X110682312	1
X110728204	1
X110710267	1
X110714921	1
X110733398	1
X110687327	1
X110690907	1
X110721694	1
X110703940	1
X110731260	1
X110685564	1
X110730978	1
X110702576	1
X110705154	1
X110739667	1
X110715718	1
X110714579	1
X110728249	1
X110698783	1
X110682373	1
X110682502	1
X110688346	1
X110724563	1
X110735663	1
X110712540	1
X110722763	1
X110728981	1
X110727511	1
X110707641	1
X110705788	1
X110708763	1
X110697188	1
X110702083	1
X110728250	1
X110691524	1
X110686400	1
X110728613	1
X110722310	1
X110721919	1
X110705387	1
X110721099	1
X110725166	1
X110715319	1
X110725633	1
X110713142	1
X110721028	1
X110731133	1
X110700406	1
X110717357	1
X110718289	1
X110729844	1
X110732514	1
X110721806	1
X110709571	1
X110720575	1
X110706486	1
X110684152	1
X110726227	1
X110701972	1
X110685768	1
X110729735	1
X110687271	1
X110720615	1
X110734036	1
X110740036	1
X110688521	1
X110702434	1
X110705024	1
X110716435	1
X110724537	1
X110714376	1
X110714139	1
X110721356	1
X110734452	1
X110707759	1
X110691211	1
X110690727	1
X110701012	1
X110710514	1
X110729759	1
X110711687	1
X110723389	1
X110731746	1
X110705585	1
X110716410	1
X110717859	1
X110723942	1
X110712220	1
X110713916	1
X110715346	1
X110685763	1
X110689662	1
X110714492	1
X110724433	1
X110739122	1
X110707817	1
X110712604	1
X110735177	1
X110710738	1
X110711663	1
X110719667	1
X110702521	1
X110702835	1
X110681938	1
X110709060	1
X110735084	1
X110713810	1
X110693707	1
X110714649	1
X110725425	1
X110730131	1
X110695099	1
X110716634	1
X110685863	1
X110686250	1
X110738345	1
X110708669	1
X110736365	1
X110705715	1
X110729818	1
X110736984	1
X110740278	1
X110689649	1
X110698297	1
X110696133	1
X110733571	1
X110710761	1
X110695063	1
X110721215	1
X110732696	1
X110731393	1
X110709782	1
X110721474	1
X110712184	1
X110704688	1
X110734293	1
X110693537	1
X110711398	1
X110726829	1
X110735197	1
X110682558	1
X110702443	1
X110731241	1
X110699073	1
X110688187	1
X110711884	1
X110690943	1
X110716548	1
X110739511	1
X110688300	1
X110687953	1
X110699013	1
X110719498	1
X110691777	1
X110684166	1
X110701920	1
X110715545	1
X110724356	1
X110731398	1
X110732040	1
X110737723	1
X110697190	1
X110691916	1
X110726815	1
X110710195	1
X110722435	1
X110738353	1
X110712365	1
X110700495	1
X110729893	1
X110718452	1
X110704154	1
X110694538	1
X110711452	1
X110736417	1
X110702480	1
X110690927	1
X110732302	1
X110733330	1
X110730879	1
X110711375	1
X110694728	1
X110727712	1
X110717404	1
X110719663	1
X110727586	1
X110707793	1
X110707919	1
X110695095	1
X110714855	1
X110731103	1
X110695743	1
X110730869	1
X110699008	1
X110710556	1
X110688385	1
X110720876	1
X110698148	1
X110708318	1
X110731378	1
X110683521	1
X110736483	1
X110695391	1
X110718484	1
X110724264	1
X110692705	1
X110738041	1
X110713545	1
X110732737	1
X110740319	1
X110707935	1
X110717855	1
X110723753	1
X110691374	1
X110682294	1
X110710793	1
X110690470	1
X110700126	1
X110732555	1
X110686939	1
X110685204	1
X110728065	1
X110715859	1
X110738375	1
X110695140	1
X110715360	1
X110726667	1
X110718552	1
X110717854	1
X110726729	1
X110697943	1
X110737380	1
X110728089	1
X110695077	1
X110724176	1
X110698436	1
X110703815	1
X110739398	1
X110722599	1
X110724687	1
X110704170	1
X110729778	1
X110732595	1
X110701163	1
X110706627	1
X110688999	1
X110692989	1
X110718679	1
X110726545	1
X110685540	1
X110695992	1
X110711864	1
X110704793	1
X110730525	1
X110739431	1
X110705605	1
X110722603	1
X110718531	1
X110710135	1
X110712610	1
X110713889	1
X110693103	1
X110714030	1
X110690704	1
X110731641	1
X110711175	1
X110715931	1
X110702757	1
X110708587	1
X110718526	1
X110699256	1
X110699749	1
X110684288	1
X110722666	1
X110721810	1
X110729478	1
X110715022	1
X110723923	1
X110726546	1
X110706816	1
X110688520	1
X110694521	1
X110718792	1
X110718858	1
X110725619	1
X110700624	1
X110703375	1
X110710853	1
X110694878	1
X110711014	1
X110684313	1
X110738086	1
X110687080	1
X110701098	1
X110688515	1
X110702076	1
X110725578	1
X110699951	1
X110719505	1
X110717792	1
X110728768	1
X110738363	1
X110702497	1
X110704923	1
X110718741	1
X110689735	1
X110728940	1
X110729764	1
X110736427	1
X110692773	1
X110688295	1
X110687240	1
X110705121	1
X110688217	1
X110729700	1
X110724857	1
X110681811	1
X110708076	1
X110705914	1
X110701104	1
X110710725	1
X110700982	1
X110682235	1
X110700018	1
X110700800	1
X110739769	1
X110693757	1
X110732433	1
X110727128	1
X110710781	1
X110722005	1
X110735393	1
X110719791	1
X110730937	1
X110713546	1
X110723050	1
X110732642	1
X110718895	1
X110682328	1
X110705162	1
X110735235	1
X110682981	1
X110701730	1
X110702412	1
X110696010	1
X110711794	1
X110738115	1
X110707033	1
X110691409	1
X110701631	1
X110706852	1
X110695192	1
X110737646	1
X110717458	1
X110695319	1
X110720588	1
X110738047	1
X110713214	1
X110722675	1
X110720427	1
X110721078	1
X110692697	1
X110722286	1
X110702086	1
X110693902	1
X110684228	1
X110718127	1
X110687668	1
X110685808	1
X110717183	1
X110729068	1
X110695761	1
X110709378	1
X110722642	1
X110701056	1
X110684665	1
X110726507	1
X110725199	1
X110687880	1
X110705555	1
X110717537	1
X110703428	1
X110708478	1
X110719325	1
X110709136	1
X110713460	1
X110728839	1
X110719348	1
X110712941	1
X110720894	1
X110712792	1
X110715336	1
X110719009	1
X110709676	1
X110709859	1
X110701035	1
X110706995	1
X110684247	1
X110689168	1
X110719441	1
X110711061	1
X110694192	1
X110719550	1
X110718713	1
X110714100	1
X110698084	1
X110733325	1
X110697163	1
X110701158	1
X110689637	1
X110685985	1
X110686141	1
X110684446	1
X110707942	1
X110732216	2
X110711856	2
X110713808	2
X110689255	2
X110714799	2
