ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	cluster
BP	GO:0009638	phototropism	3/46	11/6419	0.272727272727273	38.0573122529644	10.4499887041708	5.46025685972356e-05	0.0192747067148242	0.0184499205470659	JK224/RPT2/JK218	3	1
BP	GO:0033993	response to lipid	10/46	373/6419	0.0268096514745308	3.74111201771768	4.63397771752715	0.000240810360374311	0.0425030286060659	0.0406842766737652	ATLOX2/MLP423/LTP3/AtNPF6.2/ANNAT4/SQE3/AMY1/ATVSP1/GASA1/GASA4	10	1
BP	GO:0015979	photosynthesis	23/96	118/6419	0.194915254237288	13.032927259887	16.254792773332	3.79262318092599e-20	2.25281816947004e-17	1.99212522871797e-17	PSBR/CAB4/LHCB3/LHCA1/CP24/SBPASE/TROL/PSBQ/EDA3/LHCB4.3/RBCS1A/MET1/LHCB2/OE23/PSBW/LHCA3/LHCA2/PETC/DEG1/STN8/HCF136/LHCB4.2/ACHT1	23	2
BP	GO:0019684	photosynthesis, light reaction	20/96	90/6419	0.222222222222222	14.8587962962963	16.3137236125084	8.80168685778403e-19	2.61410099676186e-16	2.31160091686012e-16	PSBR/CAB4/LHCB3/LHCA1/CP24/TROL/PSBQ/EDA3/LHCB4.3/MET1/LHCB2/OE23/PSBW/LHCA3/LHCA2/PETC/DEG1/STN8/HCF136/LHCB4.2	20	2
BP	GO:0009765	photosynthesis, light harvesting	11/96	22/6419	0.5	33.4322916666667	18.7747725363965	2.87173451222433e-15	5.68603433420417e-13	5.02805446175418e-13	CAB4/LHCB3/LHCA1/CP24/LHCB4.3/MET1/LHCB2/LHCA3/LHCA2/DEG1/LHCB4.2	11	2
BP	GO:0009768	photosynthesis, light harvesting in
photosystem I	9/96	13/6419	0.692307692307692	46.2908653846154	20.1401504244504	1.7407448829005e-14	2.58500615110725e-12	2.28587288570356e-12	CAB4/LHCB3/LHCA1/CP24/LHCB4.3/LHCB2/LHCA3/LHCA2/LHCB4.2	9	2
BP	GO:0006091	generation of precursor metabolites
and energy	20/96	196/6419	0.102040816326531	6.82291666666667	10.2009963465844	5.35615543104592e-12	6.36311265208255e-10	5.62678223177245e-10	PSBR/CAB4/LHCB3/LHCA1/CP24/TROL/PSBQ/EDA3/LHCB4.3/MET1/LHCB2/OE23/PSBW/LHCA3/LHCA2/PETC/DEG1/STN8/HCF136/LHCB4.2	20	2
BP	GO:0009645	response to low light intensity
stimulus	5/96	11/6419	0.454545454545455	30.3929924242424	12.0213371007294	2.90001239633822e-07	2.87101227237484e-05	2.5387827820575e-05	CAB4/LHCA1/LHCB2/LHCA3/LHCA2	5	2
BP	GO:0009644	response to high light intensity	7/96	44/6419	0.159090909090909	10.6375473484848	7.90363089861427	3.27437282939131e-06	0.000277853922951205	0.000245701058927258	CAB4/LHCB3/LHCA1/MET1/LHCB2/LHCA3/LHCA2	7	2
BP	GO:0009416	response to light stimulus	16/96	348/6419	0.0459770114942529	3.0742337164751	4.90220057907923	4.8861896820813e-05	0.00362799583894536	0.00320816927810338	CAB4/LHCB3/LHCA1/CP24/LHCB4.3/MET1/LHCB2/LHCA3/LHCA2/PETC/CYP83A1/ATNDPK2/HMR/LHCB4.2/RIQ2/ATHPR1	16	2
BP	GO:0009314	response to radiation	16/96	358/6419	0.0446927374301676	2.98836126629423	4.77022152430953	6.87237287571893e-05	0.0045357660979745	0.00401089364325585	CAB4/LHCB3/LHCA1/CP24/LHCB4.3/MET1/LHCB2/LHCA3/LHCA2/PETC/CYP83A1/ATNDPK2/HMR/LHCB4.2/RIQ2/ATHPR1	16	2
BP	GO:0009642	response to light intensity	7/96	78/6419	0.0897435897435897	6.00066773504274	5.47482580939233	0.000149236339181756	0.00886463854739628	0.0078388350791259	CAB4/LHCB3/LHCA1/MET1/LHCB2/LHCA3/LHCA2	7	2
CC	GO:0009579	thylakoid	45/127	273/8189	0.164835164835165	10.6286233451588	20.3077594065844	4.43754239161167e-35	4.21566527203109e-33	2.98950224276997e-33	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/SBPASE/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/STR10/NdhN/LHCA3/LHCA2/ACSF/PETC/CP33B/CHLM/PSAF/DEG1/STN8/ATLOX2/PAM68L/ATNDPK2/PSAL/HCF136/NA/PRK/EMB3143/LHCB4.2/RIQ2/CURT1A/ARRPS1/CSP41A	45	2
CC	GO:0055035	plastid thylakoid membrane	38/127	184/8189	0.206521739130435	13.3165867853475	21.2074277090078	2.96107623040785e-33	1.40651120944373e-31	9.97415151295275e-32	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/NdhN/LHCA3/LHCA2/ACSF/PETC/CP33B/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/NA/PRK/LHCB4.2/RIQ2/CURT1A	38	2
CC	GO:0031976	plastid thylakoid	40/127	226/8189	0.176991150442478	11.4124451257752	19.9222308377756	2.9542737124837e-32	8.40837493893044e-31	5.96272571846591e-31	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/STR10/NdhN/LHCA3/LHCA2/ACSF/PETC/CP33B/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/NA/PRK/LHCB4.2/RIQ2/CURT1A/CSP41A	40	2
