ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0015979	photosynthesis	23/96	38/381	0.605263157894737	2.40213815789474	5.28008035013794	1.0651205032104e-06	0.0001421691285095	0.000136422833405453	PSBR/CAB4/LHCB3/LHCA1/CP24/SBPASE/TROL/PSBQ/EDA3/LHCB4.3/RBCS1A/MET1/LHCB2/OE23/PSBW/LHCA3/LHCA2/PETC/DEG1/STN8/HCF136/LHCB4.2/ACHT1	23
BP	GO:0009765	photosynthesis, light harvesting	11/96	12/381	0.916666666666667	3.63802083333333	5.38221008610968	1.57092959679006e-06	0.0001421691285095	0.000136422833405453	CAB4/LHCB3/LHCA1/CP24/LHCB4.3/MET1/LHCB2/LHCA3/LHCA2/DEG1/LHCB4.2	11
BP	GO:0019684	photosynthesis, light reaction	20/96	34/381	0.588235294117647	2.33455882352941	4.7262580159173	1.21890461127459e-05	0.000735405782135671	0.000705681617053712	PSBR/CAB4/LHCB3/LHCA1/CP24/TROL/PSBQ/EDA3/LHCB4.3/MET1/LHCB2/OE23/PSBW/LHCA3/LHCA2/PETC/DEG1/STN8/HCF136/LHCB4.2	20
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	9/96	10/381	0.9	3.571875	4.77713909693684	2.41507474292759e-05	0.00109282132117474	0.00104865087521856	CAB4/LHCB3/LHCA1/CP24/LHCB4.3/LHCB2/LHCA3/LHCA2/LHCB4.2	9
BP	GO:0008152	metabolic process	73/96	227/381	0.3215859030837	1.27629405286344	3.79515126094157	8.52281134013847e-05	0.00308525770513013	0.00296055551815336	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/SBPASE/PER72/TROL/PSBQ/CER4/ATLAC17/XCP1/LOL1/AtLigB/IRX9/EDA3/NA/LHCB4.3/RBCS1A/ASA3/ATSBT5.2/cpLEPA/ACL5/MET1/ATGGH2/AtC3H23/AtGAD1/LACS2/LHCB2/CESA4/OE23/PSBW/AtPPa1/BLH9/LHCA3/LHCA2/ACSF/AtLtpI-5/bL9c/u18-L8/ARF1/PETC/AtFAP1/CHLM/IRX15-L/KAT5/CYP83A1/DEG1/NA/STN8/ATLOX2/NA/ATNDPK2/GRXS6/HCF136/MEX1/At-NEET/ATPRR1/ENDO4/PRK/HMR/PRPL3/EMB3143/LHCB4.2/NA/ARRPS1/ATHPR1/NA/CSP41A/ACHT1/PYRR/ATCESA7	73
BP	GO:0006091	generation of precursor metabolites and energy	20/96	39/381	0.512820512820513	2.03525641025641	3.95523382922864	0.000189545076069451	0.00571794312809511	0.00548683114937885	PSBR/CAB4/LHCB3/LHCA1/CP24/TROL/PSBQ/EDA3/LHCB4.3/MET1/LHCB2/OE23/PSBW/LHCA3/LHCA2/PETC/DEG1/STN8/HCF136/LHCB4.2	20
BP	GO:0009987	cellular process	86/96	299/381	0.287625418060201	1.14151337792642	3.05725138559949	0.00109873216142135	0.0284100744596092	0.0272617754337628	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/Prx66/SBPASE/PER72/TROL/PSBQ/CER4/ATLAC17/XCP1/LOL1/AtLigB/IRX9/EDA3/AAP2/NA/LHCB4.3/RBCS1A/ASA3/ATSBT5.2/cpLEPA/ACL5/MET1/ATPMEPCRA/AtNPF7.3/ATGGH2/AtC3H23/AtGAD1/LACS2/ATSYP111/LHCB2/CESA4/OE23/PSBW/NdhN/AtPPa1/BLH9/LHCA3/LHCA2/ACSF/AtLtpI-5/bL9c/u18-L8/ARF1/PETC/AtFAP1/CHLM/IRX15-L/KAT5/SKM1/CYP83A1/DEG1/NA/STN8/ATLOX2/AtAUX1/NA/PAM68L/ATNDPK2/GRXS6/HCF136/MEX1/At-NEET/CYCB2;1/ATPRR1/ENDO4/PRK/AtSWEET17/HMR/PRPL3/EMB3143/LHCB4.2/NA/RIQ2/CURT1A/ARRPS1/ATHPR1/NA/CSP41A/ACHT1/PYRR/ATCESA7	86
CC	GO:0055035	plastid thylakoid membrane	38/127	61/498	0.622950819672131	2.44275203304505	7.03086880311166	6.80009970592958e-11	4.48806580591352e-09	2.21897990404018e-09	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/NdhN/LHCA3/LHCA2/ACSF/PETC/CP33B/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/NA/PRK/LHCB4.2/RIQ2/CURT1A	38
CC	GO:0009535	chloroplast thylakoid membrane	37/127	60/498	0.616666666666667	2.41811023622047	6.84607514561388	2.07500721700987e-10	4.70498577764432e-09	2.3262290128704e-09	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/NdhN/LHCA3/LHCA2/ACSF/PETC/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/NA/PRK/LHCB4.2/RIQ2/CURT1A	37
CC	GO:0034357	photosynthetic membrane	38/127	63/498	0.603174603174603	2.36520434945632	6.77667112331986	2.85150653190565e-10	4.70498577764432e-09	2.3262290128704e-09	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/NdhN/LHCA3/LHCA2/ACSF/PETC/CP33B/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/NA/PRK/LHCB4.2/RIQ2/CURT1A	38
CC	GO:0042651	thylakoid membrane	38/127	63/498	0.603174603174603	2.36520434945632	6.77667112331986	2.85150653190565e-10	4.70498577764432e-09	2.3262290128704e-09	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/NdhN/LHCA3/LHCA2/ACSF/PETC/CP33B/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/NA/PRK/LHCB4.2/RIQ2/CURT1A	38
CC	GO:0042170	plastid membrane	39/127	66/498	0.590909090909091	2.31710808876163	6.71497826516437	3.75056023036552e-10	4.95073950408249e-09	2.44773404508066e-09	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/NdhN/LHCA3/LHCA2/ACSF/PETC/CP33B/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/MEX1/NA/PRK/LHCB4.2/RIQ2/CURT1A	39
CC	GO:0019867	outer membrane	38/127	64/498	0.59375	2.32824803149606	6.65299815820641	5.62931134319988e-10	5.30763640930274e-09	2.62419025021348e-09	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/NdhN/LHCA3/LHCA2/ACSF/PETC/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/At-NEET/NA/PRK/LHCB4.2/RIQ2/CURT1A	38
