ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0042440	pigment metabolic process	5/29	82/6419	0.0609756097560976	13.4966358284272	7.67196499957985	2.80865309404912e-05	0.00610987609776385	0.00536272117279913	UGT73B3/PSB29/GBP/AtCLA1/ACLA-1	5
BP	GO:0008610	lipid biosynthetic process	7/29	233/6419	0.0300429184549356	6.6498446055942	5.91776795781715	5.97592765547146e-05	0.00610987609776385	0.00536272117279913	D27-LIKE1/PAS2/AtCER6/ATKAS2/LBO1/AtCLA1/ACLA-1	7
BP	GO:0006778	porphyrin-containing compound metabolic process	4/29	50/6419	0.08	17.7075862068966	7.98935123877695	6.70418603027635e-05	0.00610987609776385	0.00536272117279913	PSB29/GBP/AtCLA1/ACLA-1	4
BP	GO:0033013	tetrapyrrole metabolic process	4/29	51/6419	0.0784313725490196	17.3603786342123	7.90178734076463	7.25207845431911e-05	0.00610987609776385	0.00536272117279913	PSB29/GBP/AtCLA1/ACLA-1	4
BP	GO:0016114	terpenoid biosynthetic process	4/29	64/6419	0.0625	13.8340517241379	6.95095410586263	0.000177052286637413	0.00994443676613467	0.00872836711317771	D27-LIKE1/LBO1/AtCLA1/ACLA-1	4
BP	GO:0046148	pigment biosynthetic process	4/29	64/6419	0.0625	13.8340517241379	6.95095410586263	0.000177052286637413	0.00994443676613467	0.00872836711317771	UGT73B3/GBP/AtCLA1/ACLA-1	4
BP	GO:0008299	isoprenoid biosynthetic process	4/29	72/6419	0.0555555555555556	12.2969348659004	6.49368249294677	0.000279609554676228	0.0134612028465555	0.0118150804306797	D27-LIKE1/LBO1/AtCLA1/ACLA-1	4
BP	GO:0006721	terpenoid metabolic process	4/29	79/6419	0.0506329113924051	11.2073330423396	6.14935588610463	0.000399531470209332	0.0165962882523051	0.014566787439943	D27-LIKE1/LBO1/AtCLA1/ACLA-1	4
BP	GO:0006779	porphyrin-containing compound biosynthetic process	3/29	34/6419	0.0882352941176471	19.5304259634888	7.29781477919718	0.000451628750423741	0.0165962882523051	0.014566787439943	GBP/AtCLA1/ACLA-1	3
BP	GO:0033014	tetrapyrrole biosynthetic process	3/29	35/6419	0.0857142857142857	18.9724137931034	7.18195067981367	0.000492471461492734	0.0165962882523051	0.014566787439943	GBP/AtCLA1/ACLA-1	3
BP	GO:0015994	chlorophyll metabolic process	3/29	38/6419	0.0789473684210526	17.4745916515426	6.86136481248663	0.000629003318111017	0.0176729707621051	0.0155118062912745	PSB29/AtCLA1/ACLA-1	3
BP	GO:0006720	isoprenoid metabolic process	4/29	89/6419	0.0449438202247191	9.94808213870593	5.72626624176718	0.000629304596870212	0.0176729707621051	0.0155118062912745	D27-LIKE1/LBO1/AtCLA1/ACLA-1	4
BP	GO:0006629	lipid metabolic process	7/29	378/6419	0.0185185185185185	4.09897828863346	4.18367983572808	0.00117050099728455	0.0303429873911457	0.0266324518410493	D27-LIKE1/PAS2/AtCER6/ATKAS2/LBO1/AtCLA1/ACLA-1	7
BP	GO:1901336	lactone biosynthetic process	2/29	13/6419	0.153846153846154	34.053050397878	8.03596767389479	0.00149066542682452	0.0358824463457045	0.031494510145691	D27-LIKE1/LBO1	2
BP	GO:0000038	very long-chain fatty acid metabolic process	2/29	15/6419	0.133333333333333	29.5126436781609	7.44742058591741	0.00199545377117021	0.0404863613082485	0.0355354287915596	PAS2/AtCER6	2
BP	GO:0016106	sesquiterpenoid biosynthetic process	2/29	15/6419	0.133333333333333	29.5126436781609	7.44742058591741	0.00199545377117021	0.0404863613082485	0.0355354287915596	D27-LIKE1/LBO1	2
BP	GO:0006631	fatty acid metabolic process	4/29	122/6419	0.0327868852459016	7.25720746184285	4.70047827177263	0.00204233870100957	0.0404863613082485	0.0355354287915596	PAS2/AtCER6/ATKAS2/ACLA-1	4
BP	GO:0010025	wax biosynthetic process	2/29	17/6419	0.117647058823529	26.0405679513185	6.96400744964687	0.00257015458346992	0.0455864260331244	0.0400118248174542	AtCER6/ACLA-1	2
BP	GO:0010166	wax metabolic process	2/29	17/6419	0.117647058823529	26.0405679513185	6.96400744964687	0.00257015458346992	0.0455864260331244	0.0400118248174542	AtCER6/ACLA-1	2
BP	GO:1901334	lactone metabolic process	2/29	18/6419	0.111111111111111	24.5938697318008	6.75242769459381	0.00288334220787141	0.0481572449005899	0.0422682674279736	D27-LIKE1/LBO1	2
BP	GO:0006633	fatty acid biosynthetic process	3/29	65/6419	0.0461538461538462	10.2159151193634	5.0306020733922	0.0030008965665056	0.0481572449005899	0.0422682674279736	PAS2/ATKAS2/ACLA-1	3
CC	GO:0005618	cell wall	6/42	245/8189	0.0244897959183673	4.77492711370262	4.30711729671666	0.00143312310279634	0.0365557687718714	0.0351336908104943	XTH9/GASA1/ATGER3/BGAL3/ATCBR/NA	6
CC	GO:0030312	external encapsulating structure	6/42	250/8189	0.024	4.67942857142857	4.24211252021842	0.00158938125095093	0.0365557687718714	0.0351336908104943	XTH9/GASA1/ATGER3/BGAL3/ATCBR/NA	6
