ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0019684	photosynthesis, light reaction	34/381	165/21192	0.206060606060606	11.4615127654498	18.2532223039121	2.72003301340419e-26	3.08179740418695e-23	2.65417958255335e-23	OE23/DEG1/NA/PnsL3/LHCB3/PSBQ/PETC/ATLFNR1/HCF244/OEC33/LHCA3/CAB4/PPD1/LHCB2/HCF136/PSB29/LHCA2/MET1/PSBR/TROL/LHCA2*1/CP24/NA/CRR3/GBP/PSBW/CRR1/LHCB4.3/STN8/CPFTSY/LHCB4.2/OHP/LHCA1/EDA3	34
BP	GO:0015979	photosynthesis	38/381	227/21192	0.167400881057269	9.31117971487044	17.0341280440283	8.69321173959792e-26	4.92470445048222e-23	4.24137225400383e-23	OE23/DEG1/NA/PnsL3/LHCB3/PSBQ/PETC/ATLFNR1/HCF244/OEC33/LHCA3/SBPASE/CAB4/PPD1/LHCB2/HCF136/PSB29/HCF222/LHCA2/MET1/PSBR/TROL/LHCA2*1/CP24/RBCS1A/NA/ACHT1/CRR3/GBP/PSBW/CRR1/LHCB4.3/STN8/CPFTSY/LHCB4.2/OHP/LHCA1/EDA3	38
BP	GO:0006091	generation of precursor metabolites and energy	39/381	429/21192	0.0909090909090909	5.05654974946314	11.4850301496294	8.88659715398204e-17	3.35617152515388e-14	2.89048265324258e-14	OE23/DEG1/NA/PGL1/PnsL3/LHCB3/PSBQ/PETC/ATLFNR1/HCF244/OEC33/LHCA3/ATCBR/CAB4/PPD1/LHCB2/HCF136/PIFI/PSB29/AtFBA1/LHCA2/MET1/PSBR/TROL/LHCA2*1/CP24/NA/CRR3/GBP/PSBW/CRR1/LHCB4.3/STN8/CPFTSY/LHCB4.2/FdC2/OHP/LHCA1/EDA3	39
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	10/381	23/21192	0.434782608695652	24.1834988017802	15.051662263483	2.91479871396074e-12	8.25616735729381e-10	7.11057475747792e-10	LHCB3/LHCA3/CAB4/LHCB2/LHCA2/LHCA2*1/CP24/LHCB4.3/LHCB4.2/LHCA1	10
BP	GO:0009765	photosynthesis, light harvesting	12/381	43/21192	0.27906976744186	15.5224317890496	12.8979412219811	8.91429491015938e-12	2.01997922664212e-09	1.73969502773005e-09	DEG1/LHCB3/LHCA3/CAB4/LHCB2/LHCA2/MET1/LHCA2*1/CP24/LHCB4.3/LHCB4.2/LHCA1	12
BP	GO:0033013	tetrapyrrole metabolic process	14/381	106/21192	0.132075471698113	7.34630812657852	8.86275460745961	6.87135210872528e-09	1.29754032319762e-06	1.11749884294532e-06	ACD2/ATPDX1/FLU/CHLM/EMB3143/ACLA-1/ATLFNR1/PSB29/ELIP2/ACSF/AtCLA1/GBP/LIL3:1/BPG1	14
BP	GO:0015994	chlorophyll metabolic process	12/381	80/21192	0.15	8.34330708661417	8.90356090859496	1.92519099082521e-08	3.11605913229281e-06	2.68368729096988e-06	ACD2/ATPDX1/FLU/CHLM/EMB3143/ACLA-1/PSB29/ELIP2/ACSF/AtCLA1/LIL3:1/BPG1	12
BP	GO:0010207	photosystem II assembly	8/381	28/21192	0.285714285714286	15.8920134983127	10.6690389199103	2.3022644993435e-08	3.26058209719523e-06	2.80815683012029e-06	HCF244/OEC33/HCF136/PSB29/MET1/PSBR/NA/OHP	8
BP	GO:0006778	porphyrin-containing compound metabolic process	13/381	104/21192	0.125	6.95275590551181	8.23396064107777	4.67203529707429e-08	5.88157332398353e-06	5.06546984840687e-06	ACD2/ATPDX1/FLU/CHLM/EMB3143/ACLA-1/PSB29/ELIP2/ACSF/AtCLA1/GBP/LIL3:1/BPG1	13
BP	GO:0009657	plastid organization	22/381	319/21192	0.0689655172413793	3.83600325821341	6.90559921670042	8.69966367132712e-08	9.85671893961362e-06	8.48904023507394e-06	mTERF6/RPT2/JK224/RPL24/RIQ2/MDH/RIQ1/EMB2458/HCF136/PSB29/ACSF/PMI1/SECE1/CURT1A/CSP41A/mTERF10/NA/ARC2/CPFTSY/ENF2/EDA3/CRB	22
