ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0019684	photosynthesis, light reaction	17/204	165/21192	0.103030303030303	10.7030303030303	12.3357620688613	4.57616761006852e-13	3.41442888055055e-10	2.88874455216278e-10	DEG1/LHCB3/PSBQ/HCF244/LHCA3/ATFD2/LHCB2/PSB29/MET1/PSBR/TROL/LHCB4.3/ATPC1/STN8/PSBW/LHCA1/ATPDI6	17
BP	GO:0015979	photosynthesis	19/204	227/21192	0.0837004405286344	8.69499870432755	11.4915689703152	7.97763757137978e-13	3.41442888055055e-10	2.88874455216278e-10	DEG1/LHCB3/PSBQ/HCF244/LHCA3/ATFD2/SBPASE/LHCB2/PSB29/MET1/PSBR/TROL/RBCS1A/LHCB4.3/ATPC1/STN8/PSBW/LHCA1/ATPDI6	19
BP	GO:0006091	generation of precursor metabolites and energy	21/204	429/21192	0.048951048951049	5.08515014397367	8.42746386126582	1.18953592397647e-09	3.39414250307952e-07	2.87158145858179e-07	DEG1/LHCB3/PSBQ/HCF244/PIFI/LHCA3/ATFD2/ATCBR/LHCB2/PSB29/APL3/ATNADP-ME2/MET1/PSBR/TROL/LHCB4.3/ATPC1/STN8/PSBW/LHCA1/ATPDI6	21
BP	GO:0009765	photosynthesis, light harvesting	7/204	43/21192	0.162790697674419	16.9110807113543	10.2966101462188	1.6599673513867e-07	3.55233013196753e-05	3.00541457303697e-05	DEG1/LHCB3/LHCA3/LHCB2/MET1/LHCB4.3/LHCA1	7
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	5/204	23/21192	0.217391304347826	22.5831202046036	10.2101766897741	2.29980700185294e-06	0.000393726958717224	0.000333108887847332	LHCB3/LHCA3/LHCB2/LHCB4.3/LHCA1	5
BP	GO:0009644	response to high light intensity	7/204	68/21192	0.102941176470588	10.6937716262976	7.89340602218235	4.07508672619781e-06	0.000581379039604221	0.000491870117127034	LHCB3/LHCA3/LHCB2/MET1/ELIP2/LHCA1/ATPDI6	7
BP	GO:0042440	pigment metabolic process	10/204	180/21192	0.0555555555555556	5.77124183006536	6.33781075976974	1.01161192359808e-05	0.00123705686657136	0.00104660000516613	ACD2/UGT73B3/HPD/PSB29/ACLA-1/ATCAO/ACSF/AtCLA1/ATCHS/ELIP2	10
BP	GO:0015994	chlorophyll metabolic process	7/204	80/21192	0.0875	9.08970588235294	7.14691009374916	1.2113955912762e-05	0.00129619328266554	0.00109663179841846	ACD2/PSB29/ACLA-1/ATCAO/ACSF/AtCLA1/ELIP2	7
BP	GO:0010345	suberin biosynthetic process	4/204	23/21192	0.173913043478261	18.0664961636829	8.0735287416593	6.39599741246291e-05	0.00507294946241915	0.00429191985999062	ASFT/CER4/CYP86B1/BGAL8	4
BP	GO:0006778	porphyrin-containing compound metabolic process	7/204	104/21192	0.0673076923076923	6.9920814479638	6.03923546598413	6.66928195448065e-05	0.00507294946241915	0.00429191985999062	ACD2/PSB29/ACLA-1/ATCAO/ACSF/AtCLA1/ELIP2	7
