gene_id	gene_name	gene_desc	gene_type	refseq_genomic	refseq_mrna	refseq_peptide	related_acc
110706197	LOC110706197	uncharacterized protein LOC110706197	protein-coding	NW_018742204	XM_021884121;XM_021884169;XM_021884232	XP_021739813;XP_021739861;XP_021739924	LPWI01000001
110717037	LOC110717037	uncharacterized protein LOC110717037	protein-coding	NW_018745650	XM_021895675	XP_021751367	LPWI01003447
110721201	LOC110721201	uncharacterized protein LOC110721201	protein-coding	NW_018742607	XM_021900342;XM_021900343;XM_021900345;XM_021900344	XP_021756034;XP_021756035;XP_021756037;XP_021756036	LPWI01000404
110690964	LOC110690964	uncharacterized protein LOC110690964	protein-coding	NW_018744066	XM_021867886;XM_021867887	XP_021723578;XP_021723579	LPWI01001863
110683892	LOC110683892	uncharacterized protein LOC110683892	protein-coding	NW_018743691	XM_021860298	XP_021715990	LPWI01001488
110693237	LOC110693237	uncharacterized protein LOC110693237	protein-coding	NW_018744143	XM_021870385	XP_021726077	LPWI01001940
110700373	LOC110700373	uncharacterized protein LOC110700373	protein-coding	NW_018742390	XM_021877908;XM_021877917	XP_021733600;XP_021733609	LPWI01000187
110728751	LOC110728751	uncharacterized protein LOC110728751	protein-coding	NW_018742959	XM_021908401	XP_021764093	LPWI01000756
110716886	LOC110716886	uncharacterized protein LOC110716886	protein-coding	NW_018745650	XM_021895537	XP_021751229	LPWI01003447
110690478	LOC110690478	uncharacterized protein LOC110690478	protein-coding	NW_018744041	XM_021867324;XM_021867325;XM_021867326	XP_021723016;XP_021723017;XP_021723018	LPWI01001838
110720288	LOC110720288	uncharacterized protein LOC110720288	protein-coding	NW_018742556	XM_021899289;XM_021899291;XM_021899290	XP_021754981;XP_021754983;XP_021754982	LPWI01000353
110735210	LOC110735210	uncharacterized protein LOC110735210	protein-coding	NW_018743252	XM_021915391	XP_021771083	LPWI01001049
110690668	LOC110690668	uncharacterized protein LOC110690668	protein-coding	NW_018744062	XM_021867524	XP_021723216	LPWI01001859
110734256	LOC110734256	uncharacterized protein LOC110734256	protein-coding	NW_018743212	XM_021914337	XP_021770029	LPWI01001009
110704772	LOC110704772	uncharacterized protein LOC110704772	protein-coding	NW_018744858	XM_021882583	XP_021738275	LPWI01002655
110721803	LOC110721803	uncharacterized protein LOC110721803	protein-coding	NW_018742630	XM_021901001	XP_021756693	LPWI01000427
110700899	LOC110700899	uncharacterized protein LOC110700899	protein-coding	NW_018744626	XM_021878480	XP_021734172	LPWI01002423
110719832	LOC110719832	uncharacterized protein LOC110719832	protein-coding	NW_018742493	XM_021898813;XM_021898814	XP_021754505;XP_021754506	LPWI01000290
110703716	LOC110703716	uncharacterized protein LOC110703716	protein-coding	NW_018744756	XM_021881503;XM_021881504	XP_021737195;XP_021737196	LPWI01002553
110688794	LOC110688794	uncharacterized protein LOC110688794	protein-coding	NW_018743937	XM_021865553	XP_021721245	LPWI01001734
110712140	LOC110712140	uncharacterized protein LOC110712140	protein-coding	NW_018745291	XM_021890568;XM_021890567	XP_021746260;XP_021746259	LPWI01003088
110735127	LOC110735127	uncharacterized protein At4g22758-like	protein-coding	NW_018743252	XM_021915279	XP_021770971	LPWI01001049
110700334	LOC110700334	uncharacterized protein LOC110700334	protein-coding	NW_018744626	XM_021877860	XP_021733552	LPWI01002423
110685849	LOC110685849	uncharacterized protein LOC110685849	protein-coding	NW_018743850	XM_021862384	XP_021718076	LPWI01001647
110719101	LOC110719101	uncharacterized protein LOC110719101	protein-coding	NW_018742204	XM_021898001	XP_021753693	LPWI01000001
110694407	LOC110694407	uncharacterized protein LOC110694407	protein-coding	NW_018742345	XM_021871581;XM_021871593;XM_021871588;XM_021871599	XP_021727273;XP_021727285;XP_021727280;XP_021727291	LPWI01000142
