qseqid	sseqid	pident	length	evalue	bitscore	qlen	slen	qcovhsp	query_file
XP_021726077.1	AT3G15480.1	63.1	168	7.11e-75	222	168	175	99.4	LOC110693237.XP_021726077
XP_021726077.1	AT1G52910.1	60.7	168	3.18e-71	213	168	175	99.4	LOC110693237.XP_021726077
XP_021726077.1	AT4G27435.1	58.4	166	3.80e-67	202	168	173	98.8	LOC110693237.XP_021726077
XP_021726077.1	AT1G61065.1	56.3	167	2.31e-60	185	168	180	99.4	LOC110693237.XP_021726077
XP_021726077.1	AT1G13380.1	43.6	165	1.70e-44	145	168	188	98.2	LOC110693237.XP_021726077
XP_021734172.1	ATMG00810.1	35.7	224	5.21e-36	129	271	240	71.2	LOC110700899.XP_021734172
XP_021754505.1	AT3G13700.2	65.3	251	2.40e-93	279	316	287	78.5	LOC110719832.XP_021754505
XP_021754505.1	AT3G13700.1	59.8	261	6.06e-83	253	316	296	75.9	LOC110719832.XP_021754505
XP_021754505.1	AT2G42240.1	36.1	274	1.66e-44	154	316	292	83.9	LOC110719832.XP_021754505
XP_021754505.1	AT2G42240.3	35.6	275	1.28e-42	149	316	289	84.5	LOC110719832.XP_021754505
XP_021754505.1	AT2G42240.4	35.3	269	1.35e-41	146	316	302	82.3	LOC110719832.XP_021754505
XP_021754506.1	AT3G13700.2	61.7	193	5.68e-60	192	268	287	70.9	LOC110719832.XP_021754506
XP_021754506.1	AT3G13700.1	56.4	211	1.64e-55	181	268	296	70.9	LOC110719832.XP_021754506
XP_021754506.1	AT2G42240.3	34.7	216	7.83e-30	114	268	289	77.6	LOC110719832.XP_021754506
XP_021754506.1	AT2G42240.1	34.7	216	8.32e-30	114	268	292	77.6	LOC110719832.XP_021754506
XP_021754506.1	AT2G42240.4	34.7	216	1.01e-29	114	268	302	77.6	LOC110719832.XP_021754506
XP_021756693.1	AT3G43110.1	33.8	210	1.23e-18	80.5	214	191	94.9	LOC110721803.XP_021756693
XP_021756693.1	AT5G20790.1	33.6	211	1.00e-13	67.4	214	193	86.9	LOC110721803.XP_021756693
XP_021770971.1	AT1G70780.1	51.5	132	3.44e-42	137	152	140	84.9	LOC110735127.XP_021770971
XP_021770971.1	AT1G23150.1	49.6	135	4.70e-40	132	152	141	84.9	LOC110735127.XP_021770971
XP_021770971.1	AT5G37730.1	44.0	109	9.66e-27	99.4	152	182	71.7	LOC110735127.XP_021770971
XP_021770971.1	AT2G01554.1	31.4	121	3.92e-10	54.3	152	105	79.6	LOC110735127.XP_021770971
