ensembl_gene_id	entrezgene_id	athaliana_eg_homolog_ensembl_gene	athaliana_eg_homolog_orthology_type	athaliana_eg_homolog_perc_id
AUR62003413	110681813	AT5G41040	ortholog_one2many	71.1111
AUR62003518	110681931	AT3G27050	ortholog_one2one	63.1285
AUR62003524	110681938	AT1G06680	ortholog_one2many	69.708
AUR62003561	110681974	AT1G74880	ortholog_one2one	67.1053
AUR62013186	110681983	AT4G35350	ortholog_one2one	62.8472
AUR62003659	110682075	AT5G10480	ortholog_one2one	75.5656
AUR62003713	110682130	AT5G51950	ortholog_many2many	58.0139
AUR62013212	110682184	AT4G38160	ortholog_one2one	58.9666
AUR62003879	110682303	AT4G37000	ortholog_one2many	47.4843
AUR62003885	110682309	AT4G36970	ortholog_one2many	32.1759
AUR62003891	110682315	AT4G36945	ortholog_one2many	58.5308
AUR62003933	110682351	AT1G23490	ortholog_one2many	84.3575
AUR62003984	110682410	AT4G37530	ortholog_one2many	63.9394
AUR62004018	110682447	AT5G04885	ortholog_one2many	64.5768
AUR62004017	110682448	AT5G04885	ortholog_one2many	66.7752
AUR62004059	110682494	AT2G18360	ortholog_many2many	65.9306
AUR62013243	110682496	AT4G34131	ortholog_many2many	51.6461
AUR62004068	110682503	AT5G66530	ortholog_one2many	66.6667
AUR62004089	110682527	AT5G66440	ortholog_one2many	30.8
AUR62004090	110682528	AT4G36470	ortholog_one2many	55.8583
AUR62007620	110682543	AT5G66390	ortholog_many2many	68.0597
AUR62004105	110682544	AT5G66390	ortholog_many2many	71.7718
AUR62004107	110682546	AT5G66390	ortholog_many2many	75.2266
AUR62013251	110682574	AT4G34160	ortholog_one2one	45.7746
AUR62043056	110682878	AT3G27925	ortholog_one2many	73.4554
AUR62028966	110682979	AT5G20630	ortholog_one2many	63.6364
AUR62028968	110682981	AT1G79340	ortholog_many2many	63.2212
AUR62028998	110683010	AT5G20540	ortholog_one2many	59.0571
AUR62042095	110683250	AT2G40690	ortholog_one2many	80
AUR62020062	110683384	AT5G02020	ortholog_one2many	40
AUR62020093	110683416	AT5G58910	ortholog_one2many	67.1429
AUR62020097	110683419	AT5G23310	ortholog_one2many	66.0305
AUR62020102	110683425	AT3G47070	ortholog_one2many	41.1765
AUR62020114	110683440	AT3G55870	ortholog_many2many	51.0676
AUR62020137	110683465	AT5G01410	ortholog_one2many	91.3462
AUR62020154	110683492	AT2G30010	ortholog_many2many	55.3885
AUR62043077	110683635	AT2G27740	ortholog_one2many	60.8187
AUR62027950	110683738	AT3G52270	ortholog_one2many	56.5737
AUR62028008	110683785	AT2G30520	ortholog_one2many	70.9122
AUR62028066	110683835	AT3G21670	ortholog_one2many	66.1485
AUR62009661	110684152	AT3G45780	ortholog_one2many	70.5231
AUR62009675	110684163	AT2G30200	ortholog_one2many	73.2804
AUR62009702	110684193	AT3G45770	ortholog_one2many	70.8556
AUR62009784	110684270	AT4G33790	ortholog_one2many	55.8045
AUR62009801	110684288	AT3G44620	ortholog_one2many	60.6426
AUR62043077	110684291	AT2G27740	ortholog_one2many	60.8187
