gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	Family
110693242	1525.53000454256	6.32132267242221	0.737030160221684	64.3717595533225	1.03024288611173e-15	4.04607288662661e-11	LOC110693242	NW_018744143.1	2116943	2119116	+	1489	protein_coding	protochlorophyllide reductase-like && sp|Q41249|PORA_CUCSA Protochlorophyllide reductase, chloroplastic OS=Cucumis sativus OX=3659 GN=PORA PE=2 SV=1 && PF00106:short chain dehydrogenase	C2H2
110725568	71.2482674856903	8.5554675467663	0.987859263616785	61.7627027479475	3.87444005448512e-15	7.60804421298971e-11	LOC110725568	NW_018742815.1	437944	442866	+	1769	protein_coding	bifunctional purple acid phosphatase 26-like%2C transcript variant X1 && sp|Q949Y3|PPA26_ARATH Bifunctional purple acid phosphatase 26 OS=Arabidopsis thaliana OX=3702 GN=PAP26 PE=1 SV=1 && PF00149:Calcineurin-like phosphoesterase|PF14008:Iron/zinc purple acid phosphatase-like protein C|PF16656:Purple acid Phosphatase, N-terminal domain	SRS
110726979	142.995904893168	10.4786487173148	1.15855124997551	60.7046937480685	6.63118425150916e-15	8.68088330365064e-11	LOC110726979	NW_018742205.1	265231	267508	-	879	protein_coding	non-symbiotic hemoglobin 2-like && sp|Q941P9|HBL2_SOLLC Non-symbiotic hemoglobin 2 OS=Solanum lycopersicum OX=4081 GN=HB2 PE=2 SV=1 && PF00042:Globin	-
110695918	398.304675924095	4.07767609126931	0.545297567044518	53.1404679831655	3.1052866209276e-13	3.04884803659224e-09	LOC110695918	NW_018744311.1	400369	401807	-	922	protein_coding	protein YLS3-like && sp|O64865|LTG14_ARATH Non-specific lipid transfer protein GPI-anchored 14 OS=Arabidopsis thaliana OX=3702 GN=LTPG14 PE=2 SV=1 && PF14368:Probable lipid transfer	-
110716842	1392.68536652045	4.33657075594776	0.58644664511015	51.4777743761808	7.24122534208572e-13	5.68769285719465e-09	LOC110716842	NW_018745650.1	4854858	4857463	+	816	protein_coding	MLP-like protein 43 && sp|Q9SSK5|MLP43_ARATH MLP-like protein 43 OS=Arabidopsis thaliana OX=3702 GN=MLP43 PE=1 SV=1 && PF00407:Pathogenesis-related protein Bet v I family	-
110732216	133.669763097654	9.44728262703855	1.17123324654649	50.7361275224357	1.05656718124534e-12	6.91576048484138e-09	LOC110732216	NW_018743175.1	178633	181677	-	1215	protein_coding	bidirectional sugar transporter SWEET4-like && sp|A2X3S3|SWET4_ORYSI Bidirectional sugar transporter SWEET4 OS=Oryza sativa subsp. indica OX=39946 GN=SWEET4 PE=2 SV=1 && PF03083:Sugar efflux transporter for intercellular exchange	DBB
110697191	70.5014543326872	5.86267678632724	0.785185124490119	50.3882534049062	1.26147036326573e-12	7.07738936807644e-09	LOC110697191	NW_018744460.1	1882004	1883510	-	1223	protein_coding	albumin-2-like%2C transcript variant X2 && sp|P08688|ALB2_PEA Albumin-2 OS=Pisum sativum OX=3888 PE=2 SV=1 && -	-
110714122	171.643268529221	5.22785829943895	0.722421978207783	48.2811732781439	3.69280693472222e-12	1.57195259990845e-08	LOC110714122	NW_018745454.1	2401209	2403709	-	704	protein_coding	photosystem II 10 kDa polypeptide%2C chloroplastic && sp|P10690|PSBR_SPIOL Photosystem II 10 kDa polypeptide, chloroplastic OS=Spinacia oleracea OX=3562 GN=PSBR PE=2 SV=1 && PF04725:Photosystem II 10 kDa polypeptide PsbR	-
110716510	99.9181214266868	4.51059540165744	0.631447674671935	48.1231977154584	4.0026292870635e-12	1.57195259990845e-08	LOC110716510	NW_018745587.1	404346	408052	+	1570	protein_coding	probable cinnamyl alcohol dehydrogenase && sp|P42495|CADH1_ARACO Probable cinnamyl alcohol dehydrogenase 1 OS=Aralia cordata OX=29746 GN=CAD1 PE=2 SV=1 && PF00107:Zinc-binding dehydrogenase|PF08240:Alcohol dehydrogenase GroES-like domain	HB-other
110720128	1960.19704945588	5.1537961196351	0.709827903068922	48.2566420735869	3.73929461948371e-12	1.57195259990845e-08	LOC110720128	NW_018742541.1	913208	915357	+	1510	protein_coding	protochlorophyllide reductase%2C chloroplastic-like && sp|Q41249|PORA_CUCSA Protochlorophyllide reductase, chloroplastic OS=Cucumis sativus OX=3659 GN=PORA PE=2 SV=1 && PF00106:short chain dehydrogenase	C2H2
110700609	63.6288108015287	9.67444499497094	1.2885597655159	47.7136078725676	4.9325596931116e-12	1.65339166281324e-08	LOC110700609	NW_018744626.1	4478889	4480816	-	1068	protein_coding	chlorophyll a-b binding protein 4%2C chloroplastic-like && sp|Q9SQL2|CB24_PEA Chlorophyll a-b binding protein P4, chloroplastic OS=Pisum sativum OX=3888 GN=lhcA-P4 PE=1 SV=1 && PF00504:Chlorophyll A-B binding protein	ERF
