ensembl_gene_id	entrezgene_id	athaliana_eg_homolog_ensembl_gene	athaliana_eg_homolog_orthology_type
AUR62023801	110738742	AT1G08570	ortholog_one2many
AUR62023468	110725149	AT4G01000	ortholog_many2many
AUR62023468	110725149	AT3G06455	ortholog_many2many
AUR62006563	110700995	AT2G26800	ortholog_one2many
AUR62018626	110730100	AT2G39440	ortholog_one2many
AUR62018998	110709705	AT1G12680	ortholog_one2many
AUR62014326	110724612	AT1G44318	ortholog_many2many
AUR62014326	110724612	AT1G69740	ortholog_many2many
AUR62004625	110725210	AT1G72040	ortholog_one2many
AUR62004625	110714621	AT1G72040	ortholog_one2many
AUR62018877	110730328	AT4G16800	ortholog_one2many
AUR62009016	110728228	AT3G02580	ortholog_one2many
AUR62009016	110728228	AT3G02590	ortholog_one2many
AUR62011327	110698469	AT4G34500	ortholog_one2many
AUR62027306	110692791	AT5G42710	ortholog_one2many
AUR62031889	110729853	AT1G52150	ortholog_one2one
AUR62023612	110725310	AT1G36990	ortholog_many2many
AUR62023612	110725310	AT4G08510	ortholog_many2many
AUR62039651	110722210	AT1G74150	ortholog_many2many
AUR62039651	110722210	AT1G18610	ortholog_many2many
AUR62015562	110689420	AT4G14365	ortholog_many2many
AUR62015562	110689420	AT3G23280	ortholog_many2many
AUR62034896	110704168	AT4G09830	ortholog_one2one
AUR62025368	110721942	AT3G21520	ortholog_one2one
AUR62025368	110715913	AT3G21520	ortholog_one2one
AUR62018443	110711517	AT3G56940	ortholog_one2many
AUR62044372	110716794	AT2G24610	ortholog_one2one
AUR62001153	110687796	AT4G13010	ortholog_one2many
AUR62016282	110703582	AT3G59280	ortholog_one2many
AUR62016282	110703201	AT3G59280	ortholog_one2many
AUR62006107	110728768	AT5G13770	ortholog_one2one
AUR62016760	110705112	AT2G21590	ortholog_many2many
AUR62016760	110705112	AT4G39210	ortholog_many2many
AUR62015328	110689205	AT3G27340	ortholog_one2one
AUR62014424	110724715	AT5G42490	ortholog_many2many
AUR62014424	110724715	AT4G24170	ortholog_many2many
AUR62006443	110731779	AT3G08560	ortholog_one2many
AUR62005514	110709845	AT5G17500	ortholog_many2many
AUR62005514	110709845	AT3G26140	ortholog_many2many
AUR62005514	110709845	AT5G16700	ortholog_many2many
AUR62005514	110709845	AT1G13130	ortholog_many2many
AUR62005514	110709845	AT3G26130	ortholog_many2many
AUR62034356	110682791	AT3G60360	ortholog_one2many
AUR62016494	110703384	AT1G61010	ortholog_one2many
AUR62043188	110735355	AT3G29240	ortholog_one2many
AUR62033388	110685386	AT4G25420	ortholog_many2many
AUR62033388	110685386	AT5G51810	ortholog_many2many
AUR62033388	110685386	AT5G07200	ortholog_many2many
AUR62033388	110685386	AT1G60980	ortholog_many2many
AUR62006659	110701098	AT4G12800	ortholog_one2many
AUR62039394	110715284	AT3G02460	ortholog_many2many
AUR62039394	110715284	AT5G15930	ortholog_many2many
AUR62018484	110711577	AT5G07280	ortholog_one2many
AUR62003088	110721764	AT1G69230	ortholog_many2many
AUR62003088	110721764	AT3G02180	ortholog_many2many
AUR62003088	110721764	AT1G26355	ortholog_many2many
AUR62003088	110721764	AT2G03680	ortholog_many2many
AUR62004341	110713927	AT1G01740	ortholog_many2many
AUR62004341	110713927	AT4G00710	ortholog_many2many
AUR62001730	110688355	AT1G09830	ortholog_one2many
AUR62038688	110730686	AT3G29770	ortholog_one2many
AUR62042297	110715233	AT5G44710	ortholog_one2one
AUR62018803	110730263	AT4G17090	ortholog_one2many
AUR62037110	110700071	AT5G64670	ortholog_one2many
AUR62021845	110731243	AT5G47550	ortholog_many2many
AUR62021845	110731243	AT4G16500	ortholog_many2many
AUR62011300	110698444	AT4G34550	ortholog_many2many
AUR62011300	110698444	AT2G16365	ortholog_many2many
AUR62006771	110701198	AT1G56570	ortholog_one2many
AUR62001911	110717594	AT4G34050	ortholog_one2many
AUR62025626	110726715	AT4G26090	ortholog_one2many
AUR62020617	110710155	AT5G58230	ortholog_one2many
AUR62019440	110737666	AT4G28365	ortholog_one2one
AUR62003338	110724415	AT5G66120	ortholog_one2many
AUR62001554	110688165	AT5G22120	ortholog_one2many
AUR62008306	110700483	AT1G74850	ortholog_one2many
AUR62007573	110685801	AT2G18360	ortholog_many2many
AUR62007573	110685801	AT4G36610	ortholog_many2many
AUR62002766	110713641	AT1G03410	ortholog_many2many
AUR62002766	110713641	AT2G30840	ortholog_many2many
AUR62002766	110713641	AT1G06640	ortholog_many2many
AUR62002766	110713641	AT1G04350	ortholog_many2many
AUR62002766	110713641	AT5G59530	ortholog_many2many
AUR62002766	110713641	AT1G06645	ortholog_many2many
AUR62002766	110713641	AT5G43450	ortholog_many2many
AUR62002766	110713641	AT1G06620	ortholog_many2many
AUR62002766	110713641	AT2G30830	ortholog_many2many
AUR62002766	110713641	AT5G59540	ortholog_many2many
AUR62002766	110713641	AT1G06650	ortholog_many2many
AUR62002766	110713641	AT2G25450	ortholog_many2many
AUR62002766	110713641	AT3G61400	ortholog_many2many
AUR62003419	110681820	AT5G47820	ortholog_one2many
AUR62042289	110715228	AT5G02740	ortholog_one2many
AUR62026000	110707117	AT3G11550	ortholog_one2many
AUR62026000	110707117	AT2G27370	ortholog_one2many
AUR62026000	110707117	AT2G36100	ortholog_one2many
AUR62026000	110707117	AT5G06200	ortholog_one2many
AUR62006888	110701311	AT4G34240	ortholog_one2many
AUR62037135	110740296	AT3G21710	ortholog_one2one
AUR62008681	110727916	AT4G02380	ortholog_many2many
AUR62008681	110727916	AT1G02820	ortholog_many2many
AUR62029149	110730868	AT3G44880	ortholog_one2one
AUR62029149	110691778	AT3G44880	ortholog_one2one
AUR62022791	110699180	AT2G37890	ortholog_one2many
AUR62022791	110699180	AT3G53940	ortholog_one2many
AUR62022791	110699180	AT3G55640	ortholog_one2many
AUR62035769	110688751	AT4G19890	ortholog_one2many
AUR62014258	110694500	AT1G71180	ortholog_many2many
AUR62014258	110694500	AT1G71170	ortholog_many2many
AUR62008487	110700815	AT5G61280	ortholog_one2one
AUR62021277	110729750	AT5G62180	ortholog_one2many
AUR62021712	110726481	AT1G74520	ortholog_many2many
AUR62021712	110726481	AT5G62490	ortholog_many2many
AUR62002816	110718512	AT1G68220	ortholog_one2many
AUR62016622	110704967	AT3G59550	ortholog_one2many
