ensembl_gene_id	entrezgene_id	athaliana_eg_homolog_ensembl_gene	athaliana_eg_homolog_orthology_type	athaliana_eg_homolog_perc_id
AUR62003413	110681813	AT5G41040	ortholog_one2many	71.1111
AUR62003441	110681844	AT5G14130	ortholog_one2many	59.403
AUR62013196	110682089	AT4G38210	ortholog_one2one	56.4885
AUR62003879	110682303	AT4G37000	ortholog_one2many	47.4843
AUR62007545	110682470	AT4G37760	ortholog_many2many	70.9677
AUR62013243	110682496	AT4G34131	ortholog_many2many	51.6461
AUR62004089	110682527	AT5G66440	ortholog_one2many	30.8
AUR62007620	110682543	AT5G66390	ortholog_many2many	68.0597
AUR62004107	110682546	AT5G66390	ortholog_many2many	75.2266
AUR62013251	110682574	AT4G34160	ortholog_one2one	45.7746
AUR62013253	110682600	AT3G19430	ortholog_one2many	46.0177
AUR62022354	110682789	AT1G36160	ortholog_many2many	79.1444
AUR62043056	110682878	AT3G27925	ortholog_one2many	73.4554
AUR62028966	110682979	AT5G20630	ortholog_one2many	63.6364
AUR62028968	110682981	AT1G79340	ortholog_many2many	63.2212
AUR62020040	110683350	AT5G59260	ortholog_many2many	47.9881
AUR62020102	110683425	AT3G47070	ortholog_one2many	41.1765
AUR62020154	110683492	AT2G30010	ortholog_many2many	55.3885
AUR62043077	110683635	AT2G27740	ortholog_one2many	60.8187
AUR62038960	110683724	AT4G28250	ortholog_one2many	64.5283
AUR62028008	110683785	AT2G30520	ortholog_one2many	70.9122
AUR62009836	110683970	AT3G13790	ortholog_many2many	57.8313
AUR62009653	110684146	AT3G45850	ortholog_many2many	71.7073
AUR62009661	110684152	AT3G45780	ortholog_one2many	70.5231
AUR62009784	110684270	AT4G33790	ortholog_one2many	55.8045
AUR62004273	110685382	AT3G53900	ortholog_one2many	61.4232
AUR62007812	110685633	AT2G36970	ortholog_one2many	47.1459
AUR62007526	110685748	AT5G04885	ortholog_one2many	66.9381
AUR62007545	110685768	AT4G37760	ortholog_many2many	70.9677
AUR62007620	110685847	AT5G66390	ortholog_many2many	68.0597
AUR62007876	110686077	AT2G03760	ortholog_many2many	46.5465
AUR62008025	110686223	AT3G50770	ortholog_one2one	47.2081
AUR62033833	110686366	AT1G75720	ortholog_one2many	37.963
AUR62033914	110686448	AT1G75750	ortholog_many2many	56.5657
AUR62033916	110686449	AT1G75750	ortholog_many2many	62.6263
AUR62001865	110687652	AT1G06980	ortholog_one2many	50.7772
AUR62001130	110687761	AT3G25110	ortholog_many2many	67.0241
AUR62001145	110687786	AT3G25180	ortholog_one2many	44.5896
AUR62001173	110687813	AT5G61750	ortholog_one2one	45.815
AUR62001878	110688516	AT2G30200	ortholog_one2many	74.3386
AUR62035749	110688726	AT1G75720	ortholog_one2many	38.1395
AUR62015363	110689232	AT3G21420	ortholog_one2many	63.8889
AUR62015433	110689292	AT5G61480	ortholog_one2many	60.5163
AUR62015532	110689385	AT3G23530	ortholog_many2many	71.875
AUR62015580	110689438	AT2G32830	ortholog_one2many	71.8808
AUR62025391	110689657	AT4G28780	ortholog_one2many	62.4
AUR62025448	110689717	AT5G44030	ortholog_one2many	79.5238
AUR62025461	110689728	AT1G04020	ortholog_one2many	37.9471
AUR62029721	110690672	AT5G59320	ortholog_many2many	43.2203
AUR62026037	110691500	AT5G13630	ortholog_one2one	86.9848
AUR62033251	110692293	AT1G66130	ortholog_one2many	45.7766
AUR62033258	110692301	AT4G30020	ortholog_one2many	70.7915
AUR62033303	110692342	AT4G19810	ortholog_many2many	48.9637
AUR62027288	110692772	AT3G54250	ortholog_many2many	77.381
AUR62027318	110692807	AT1G33260	ortholog_many2many	44.4444
AUR62029310	110693197	AT5G54270	ortholog_one2one	88.2576
AUR62014619	110693453	AT4G21280	ortholog_many2many	72.4891
AUR62014662	110693484	AT4G21380	ortholog_one2many	53.5294
AUR62014740	110693757	AT4G21585	ortholog_many2many	55.9603
AUR62031392	110693841	AT5G23940	ortholog_one2many	58.3153
AUR62021097	110693890	AT5G11720	ortholog_one2many	56.8456
AUR62033729	110693992	AT4G03210	ortholog_one2many	67.7852
AUR62014102	110694210	AT1G68190	ortholog_one2many	26.4831
AUR62033773	110694521	AT3G18200	ortholog_one2many	61.7251
AUR62013976	110694523	AT1G24020	ortholog_one2many	50.3268
AUR62029429	110694661	AT5G41040	ortholog_one2many	70.3786
AUR62029466	110694697	AT3G51240	ortholog_one2many	78.9189
AUR62027142	110694732	AT4G35250	ortholog_one2many	81.6794
AUR62037405	110695487	AT2G01755	ortholog_one2many	38.2514
AUR62000077	110695977	AT3G45140	ortholog_one2many	55.9693
AUR62000097	110696003	AT3G20860	ortholog_one2one	41.2668
AUR62041964	110696236	AT2G01820	ortholog_many2many	58.3686
AUR62041779	110696381	AT2G37090	ortholog_one2many	52.4355
AUR62022354	110696502	AT1G36160	ortholog_many2many	79.1444
AUR62022419	110696559	AT5G42750	ortholog_one2many	38.4615
AUR62035055	110697369	AT5G62280	ortholog_one2many	45.2174
AUR62034644	110697876	AT3G62930	ortholog_many2many	61.7647
AUR62026350	110698113	AT4G39730	ortholog_many2many	48.4211
AUR62026177	110698140	AT4G35690	ortholog_many2many	27.5
AUR62036924	110698240	AT5G23060	ortholog_one2one	59.3434
AUR62011520	110698649	AT3G15840	ortholog_one2many	60.0707
AUR62036844	110699013	AT1G61520	ortholog_one2many	87.2263
AUR62036870	110699031	AT1G20560	ortholog_one2many	67.9212
AUR62036897	110699084	AT1G76210	ortholog_many2many	32.9167
AUR62022814	110699209	AT3G55700	ortholog_many2many	44.1113
AUR62022815	110699211	AT3G55730	ortholog_one2many	40.3302
AUR62022834	110699227	AT1G60950	ortholog_many2many	63.3333
AUR62022835	110699228	AT3G55800	ortholog_one2one	79.8969
AUR62022966	110699356	AT2G40410	ortholog_one2many	67.0659
AUR62022986	110699377	AT2G40460	ortholog_one2one	66.5523
AUR62022994	110699386	AT4G15093	ortholog_one2many	56.25
AUR62039539	110699944	AT1G70720	ortholog_one2many	42.9952
AUR62037059	110700018	AT5G17770	ortholog_one2one	80.2158
AUR62036048	110700149	AT2G42920	ortholog_one2one	51.756
AUR62036074	110700174	AT1G03870	ortholog_many2many	50.1961
AUR62008326	110700501	AT1G04280	ortholog_one2many	66.9456
AUR62021741	110700537	AT1G74730	ortholog_one2many	64.2105
AUR62008438	110700618	AT5G61430	ortholog_many2many	57.4176
AUR62008415	110700800	AT5G15230	ortholog_many2many	47.9592
AUR62008143	110700848	AT4G24700	ortholog_one2many	36.2416
AUR62006623	110701056	AT5G36700	ortholog_many2many	75.4768
AUR62006659	110701098	AT4G12800	ortholog_one2many	80.5556
AUR62006752	110701176	AT1G56430	ortholog_many2many	59.7561
AUR62006992	110701407	AT5G18460	ortholog_one2many	67.7346
AUR62006850	110701465	AT4G30770	ortholog_one2many	25.5924
AUR62006493	110701606	AT1G07890	ortholog_one2many	83.6
AUR62017605	110701847	AT2G42850	ortholog_one2one	55.4878
AUR62017505	110701888	AT2G05070	ortholog_one2many	87.8788
AUR62017541	110701915	AT2G04795	ortholog_many2many	35.6522
AUR62017589	110701960	AT1G06570	ortholog_one2many	62.475
AUR62017594	110701965	AT1G06550	ortholog_one2one	74.4125
AUR62017702	110702083	AT5G23190	ortholog_many2many	67.2414
AUR62032976	110702086	AT5G23210	ortholog_one2many	62.6775
AUR62017748	110702134	AT5G23400	ortholog_one2many	55.7047
AUR62038043	110702213	AT1G19630	ortholog_one2many	54.1082
AUR62017239	110702457	AT4G11640	ortholog_one2one	70.4268
AUR62017313	110702524	AT4G11850	ortholog_many2many	66.1538
AUR62017370	110702576	AT4G12060	ortholog_one2one	51.046
AUR62016551	110703448	AT3G25110	ortholog_many2many	67.0241
AUR62036715	110703616	AT1G76080	ortholog_one2many	63.4868
AUR62030621	110704464	AT2G40610	ortholog_one2many	76.0956
AUR62032763	110704688	AT2G20890	ortholog_one2many	69.6864
AUR62032724	110704793	AT1G64740	ortholog_one2many	86.8304
AUR62016632	110704977	AT2G15790	ortholog_one2many	76.7956
AUR62016760	110705112	AT4G39210	ortholog_many2many	67.8095
AUR62016785	110705138	AT3G19430	ortholog_one2many	49.187
AUR62009235	110705538	AT5G11670	ortholog_many2many	73.5818
AUR62009297	110705586	AT2G25810	ortholog_one2many	66.6667
AUR62009398	110705692	AT3G23890	ortholog_one2one	57.5287
AUR62032788	110706287	AT1G14210	ortholog_one2many	34.764
AUR62032876	110706404	AT5G65660	ortholog_one2many	61.5942
AUR62005328	110707009	AT1G24020	ortholog_one2many	49.6732
AUR62017164	110707070	AT1G55760	ortholog_one2one	70.1219
AUR62026037	110707283	AT5G13630	ortholog_one2one	86.9848
AUR62005767	110707289	AT1G26840	ortholog_one2one	63.1944
AUR62033418	110707852	AT2G26910	ortholog_one2one	74.33
AUR62013368	110707935	AT2G26690	ortholog_one2one	74.1438
AUR62044368	110708210	AT5G43060	ortholog_one2one	66.7387
AUR62014075	110709049	AT1G10670	ortholog_many2many	88.4161
AUR62024274	110709378	AT1G67900	ortholog_one2many	69.9367
AUR62019074	110709775	AT1G44446	ortholog_one2many	78.3835
AUR62019137	110709847	AT4G13770	ortholog_one2many	43.8878
AUR62005530	110710012	AT1G67750	ortholog_many2many	80.9406
AUR62043377	110710062	AT5G51010	ortholog_one2one	53.3333
AUR62020714	110710195	AT2G30520	ortholog_one2many	70.2238
AUR62044674	110711051	AT5G05600	ortholog_many2many	64.2458
AUR62043148	110711352	AT5G03170	ortholog_one2many	58.0247
AUR62041453	110711378	AT2G34810	ortholog_one2one	44.7514
AUR62018443	110711517	AT3G56940	ortholog_one2many	87.0324
AUR62018485	110711639	AT4G33820	ortholog_many2many	39.8649
AUR62025145	110711856	AT4G03210	ortholog_one2many	67.1141
AUR62025113	110711978	AT5G21105	ortholog_many2many	60.477
AUR62024994	110712018	AT2G28470	ortholog_one2many	70.2128
AUR62024106	110712430	AT1G20810	ortholog_one2one	62.7193
AUR62024149	110712524	AT1G67560	ortholog_one2many	60.0656
AUR62024228	110712601	AT1G13130	ortholog_many2many	51.7891
AUR62005794	110712604	AT1G14210	ortholog_one2many	43.8819
AUR62005805	110712679	AT1G14190	ortholog_many2many	53.5316
AUR62040843	110712843	AT5G51970	ortholog_one2many	73.4807
AUR62042798	110712867	AT2G18000	ortholog_one2many	52.5547
AUR62005847	110713142	AT1G55480	ortholog_one2many	60.4972
AUR62005857	110713218	AT1G13970	ortholog_one2many	56.75
AUR62033611	110713448	AT4G14940	ortholog_one2many	53.6697
AUR62033631	110713460	AT4G15560	ortholog_many2many	82.3695
AUR62004527	110714003	AT2G46600	ortholog_one2many	65.0406
AUR62004386	110714017	AT4G00330	ortholog_one2many	52.4027
AUR62022715	110714031	AT2G46680	ortholog_many2many	44.0476
AUR62004367	110714036	AT4G00430	ortholog_many2many	91.1972
AUR62004366	110714122	AT1G79040	ortholog_one2many	77.1429
AUR62004539	110714284	AT3G61880	ortholog_many2many	63.9469
AUR62004255	110714366	AT2G45600	ortholog_one2one	54.8961
AUR62004468	110714462	AT4G01050	ortholog_one2many	54.6392
AUR62004589	110714492	AT1G72180	ortholog_one2many	54.1284
AUR62004717	110714529	AT5G08640	ortholog_many2many	58.0925
AUR62020990	110714855	AT3G56940	ortholog_one2many	87.0324
AUR62025368	110715913	AT3G21520	ortholog_one2one	45.3846
AUR62025349	110715976	AT5G17420	ortholog_one2many	85.0386
AUR62025247	110715983	AT2G06025	ortholog_one2many	47.931
AUR62025205	110715984	AT1G79340	ortholog_many2many	62.8297
AUR62032976	110716267	AT5G23210	ortholog_one2many	62.6775
AUR62027403	110716843	AT3G54420	ortholog_one2many	61.2546
AUR62040038	110717251	AT2G37090	ortholog_one2many	51.7143
AUR62023727	110717690	AT2G43880	ortholog_one2many	45.8015
AUR62002312	110717702	AT1G70850	ortholog_many2many	45.098
AUR62002432	110717822	AT1G05690	ortholog_one2many	32.5123
AUR62002275	110717937	AT4G25640	ortholog_one2many	67.3428
AUR62023734	110718009	AT3G59850	ortholog_many2many	54.5
AUR62002817	110718526	AT3G45140	ortholog_one2many	50.7675
AUR62040811	110719798	AT1G61520	ortholog_one2many	87.5912
AUR62042218	110720255	AT3G02850	ortholog_many2many	64.6849
AUR62023239	110720330	AT3G03341	ortholog_one2many	66.2162
AUR62023266	110720357	AT1G66840	ortholog_one2many	36.2013
AUR62023314	110720412	AT1G68530	ortholog_many2many	59.9119
AUR62023323	110720417	AT3G03530	ortholog_many2many	67.3786
AUR62023324	110720421	AT3G03530	ortholog_many2many	62.3106
AUR62020395	110720748	AT1G50720	ortholog_many2many	38.2716
AUR62003015	110720877	AT4G34131	ortholog_many2many	53.3898
AUR62020536	110721028	AT1G11580	ortholog_one2many	50.6261
AUR62040310	110721099	AT1G51680	ortholog_many2many	66.3139
AUR62013818	110721301	AT1G76210	ortholog_many2many	32.5
AUR62003053	110721356	AT1G03130	ortholog_many2many	74.4076
AUR62013633	110721426	AT1G01360	ortholog_many2many	61.326
AUR62013918	110721694	AT1G20160	ortholog_many2many	54.6753
AUR62028309	110721831	AT3G43120	ortholog_many2many	63.522
AUR62028335	110721851	AT4G33150	ortholog_one2many	67.4952
AUR62028388	110721907	AT3G21720	ortholog_one2one	78.3737
AUR62025368	110721942	AT3G21520	ortholog_one2one	45.3846
AUR62003117	110722071	AT1G26560	ortholog_one2many	68.3694
AUR62007052	110722767	AT4G24130	ortholog_one2many	65
AUR62019917	110722768	AT3G50790	ortholog_one2many	62.037
AUR62019928	110722776	AT1G64680	ortholog_one2many	70.7865
AUR62003326	110724224	AT1G14130	ortholog_many2many	58.8435
AUR62037809	110724462	AT5G13930	ortholog_one2many	82.0972
AUR62014401	110724534	AT4G13770	ortholog_one2many	43.1412
AUR62014481	110724770	AT1G35180	ortholog_many2many	58.1498
AUR62003368	110724781	AT3G51240	ortholog_one2many	78.6487
AUR62014571	110724885	AT3G48140	ortholog_one2many	74.1573
AUR62039875	110724954	AT2G37210	ortholog_many2many	85.9903
AUR62023463	110725145	AT3G61750	ortholog_one2many	43.9904
AUR62023525	110725215	AT2G46890	ortholog_one2many	65.2439
AUR62023540	110725229	AT1G22530	ortholog_many2many	47.2175
AUR62023560	110725251	AT1G72180	ortholog_one2many	53.9474
AUR62023632	110725334	AT5G08640	ortholog_many2many	58.3815
AUR62013306	110725590	AT2G10940	ortholog_one2one	71.2598
AUR62013309	110725594	AT5G20250	ortholog_one2one	72.5389
AUR62013368	110725652	AT2G26690	ortholog_one2one	74.1438
AUR62013422	110725726	AT1G77330	ortholog_one2many	69.7819
AUR62008424	110726444	AT1G74460	ortholog_one2many	64.8241
AUR62021741	110726507	AT1G74730	ortholog_one2many	64.2105
AUR62025621	110726711	AT1G53875	ortholog_many2many	41.3953
AUR62025637	110726729	AT4G15940	ortholog_many2many	66.6667
AUR62025754	110726839	AT4G24780	ortholog_one2many	82.801
AUR62005925	110727033	AT5G17165	ortholog_many2many	40.8
AUR62037809	110727184	AT5G13930	ortholog_one2many	82.0972
AUR62025437	110728024	AT4G28660	ortholog_one2many	55.9783
AUR62008855	110728069	AT4G28780	ortholog_one2many	62.9333
AUR62008945	110728156	AT5G15900	ortholog_many2many	47.0982
AUR62008994	110728204	AT1G67090	ortholog_many2many	70.7182
AUR62009032	110728240	AT5G38200	ortholog_many2many	69.953
AUR62006107	110728768	AT5G13770	ortholog_one2one	44.2997
AUR62033418	110729100	AT2G26910	ortholog_one2one	74.33
AUR62033515	110729333	AT2G36310	ortholog_one2one	74.8555
AUR62033519	110729337	AT2G28680	ortholog_many2many	78.0899
AUR62006188	110729500	AT3G52720	ortholog_one2one	41.9847
AUR62021058	110729523	AT3G59140	ortholog_one2many	64.8922
AUR62021089	110729559	AT3G16520	ortholog_one2many	47.8814
AUR62021097	110729566	AT5G11720	ortholog_one2many	56.8456
AUR62021255	110729730	AT5G51950	ortholog_many2many	58.1152
AUR62021263	110729735	AT5G51890	ortholog_one2many	67.1875
AUR62021293	110729764	AT5G51720	ortholog_one2one	70.7071
AUR62006234	110729890	AT5G20400	ortholog_many2many	47.5219
AUR62007260	110730206	AT1G32450	ortholog_one2many	70.1169
AUR62018764	110730231	AT4G18020	ortholog_one2many	49.009
AUR62018815	110730276	AT2G40100	ortholog_one2many	72.4739
AUR62006306	110730526	AT4G39730	ortholog_many2many	48.4211
AUR62036975	110730960	AT5G20400	ortholog_many2many	45.1429
AUR62036998	110730978	AT2G36145	ortholog_one2many	47.4747
AUR62006381	110731103	AT2G38540	ortholog_many2many	46.6102
AUR62021944	110731331	AT4G04640	ortholog_one2one	81.5934
AUR62022575	110731543	AT1G79040	ortholog_one2many	75
AUR62022584	110731553	AT3G61440	ortholog_one2many	72.3577
AUR62006432	110731641	AT5G01920	ortholog_one2one	70.5645
AUR62022720	110731707	AT3G61870	ortholog_one2many	63.3094
AUR62022728	110731715	AT2G46600	ortholog_one2many	64.2276
AUR62007049	110732298	AT4G24120	ortholog_one2many	62.4251
AUR62007052	110732302	AT4G24130	ortholog_one2many	65
AUR62007063	110732312	AT1G64680	ortholog_one2many	70.7865
AUR62007260	110732514	AT1G32450	ortholog_one2many	70.1169
AUR62007267	110732521	AT1G32540	ortholog_one2one	80.2721
AUR62007438	110732706	AT1G31410	ortholog_one2one	43.8849
AUR62007449	110732717	AT4G12290	ortholog_many2many	69.0707
AUR62007454	110732723	AT5G62320	ortholog_one2many	36.1842
AUR62007182	110732837	AT1G03910	ortholog_one2many	59.8344
AUR62024646	110733038	AT2G16760	ortholog_many2many	62.0795
AUR62011819	110733056	AT1G02610	ortholog_one2many	44.7489
AUR62024716	110733123	AT1G03880	ortholog_many2many	34.9241
AUR62030819	110733933	AT4G14690	ortholog_many2many	53.0612
AUR62011799	110734293	AT2G16760	ortholog_many2many	62.0795
AUR62011869	110734357	AT4G28520	ortholog_many2many	44.6764
AUR62011936	110734409	AT2G30570	ortholog_one2one	63.5037
AUR62011938	110734411	AT2G30550	ortholog_one2many	56.3353
AUR62011984	110734456	AT3G51895	ortholog_many2many	72.9483
AUR62012069	110734550	AT2G42220	ortholog_one2one	64.6809
AUR62018089	110735017	AT4G15920	ortholog_many2many	56.7347
AUR62018205	110735127	AT5G37730	ortholog_one2many	33.5526
AUR62018252	110735177	AT3G54890	ortholog_one2many	86.4198
AUR62000143	110736244	AT1G51440	ortholog_one2one	57.197
AUR62000298	110736413	AT1G65230	ortholog_one2many	59.6091
