gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	Family
110732320	706.948783008918	-1.86176021495634	0.266878484703454	47.3504924857781	5.93632017501627e-12	1.66526501595296e-08	LOC110732320	NW_018743175.1	831793	834752	+	2161	protein_coding	growth-regulating factor 2-like && sp|A0A060D764|GRF1_MAIZE Growth-regulating factor 1 OS=Zea mays OX=4577 GN=GRF1 PE=1 SV=1 && PF08880:QLQ|PF08879:WRC	GRF
110687007	69.1408928917311	-2.65394059300834	0.44372527291251	34.3911900267657	4.50759036776905e-09	2.18012492096477e-06	LOC110687007	NW_018743906.1	1801880	1803731	+	1168	pseudogene	- && sp|Q8L493|DAAA_ARATH D-amino-acid transaminase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DAAT PE=1 SV=1 && PF01063:Amino-transferase class IV	-
110689810	225.885130620082	-1.12439597774248	0.193197696620199	33.5404114505489	6.979861598217e-09	3.06603527585322e-06	LOC110689810	NW_018743977.1	3446308	3451620	+	2600	protein_coding	uncharacterized CDP-alcohol phosphatidyltransferase class-I family protein C22A12.08c-like%2C transcript variant X1 && sp|O13899|YF38_SCHPO Uncharacterized CDP-alcohol phosphatidyltransferase class-I family protein C22A12.08c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC22A12.08c PE=3 SV=1 && PF13242:HAD-hyrolase-like	-
110722781	599.252087991253	-1.66642051011325	0.292992301386489	31.6043972008404	1.89001139961769e-08	6.30255989790704e-06	LOC110722781	NW_018742684.1	2622269	2625399	+	2340	protein_coding	growth-regulating factor 3-like && sp|A0A060D764|GRF1_MAIZE Growth-regulating factor 1 OS=Zea mays OX=4577 GN=GRF1 PE=1 SV=1 && PF08880:QLQ|PF08879:WRC	GRF
110682990	345.891963636295	-1.13819916763561	0.20288749433282	31.11447790913	2.43250287260372e-08	7.58187978696555e-06	LOC110682990	NW_018743616.1	1334936	1337622	+	2225	protein_coding	growth-regulating factor 6-like && sp|A2XA73|GRF1_ORYSI Growth-regulating factor 1 OS=Oryza sativa subsp. indica OX=39946 GN=GRF1 PE=2 SV=1 && PF08879:WRC|PF08880:QLQ	GRF
110737704	211.733135798666	-1.76094723673788	0.323579762279543	28.9246659027381	7.52485619642016e-08	1.73837457295299e-05	LOC110737704	NW_018743331.1	1522734	1529637	-	2464	protein_coding	D-amino-acid transaminase%2C chloroplastic-like && sp|Q8L493|DAAA_ARATH D-amino-acid transaminase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DAAT PE=1 SV=1 && PF01063:Amino-transferase class IV	-
110732757	710.30650491895	-1.1448248727173	0.215870511018075	27.7606795448643	1.37288236033454e-07	2.69586044687092e-05	LOC110732757	NW_018743175.1	5844069	5850462	-	2585	protein_coding	protein NRT1/ PTR FAMILY 6.3-like && sp|Q05085|PTR7_ARATH Protein NRT1/ PTR FAMILY 6.3 OS=Arabidopsis thaliana OX=3702 GN=NPF6.3 PE=1 SV=1 && PF00854:POT family	C3H
110733192	217.722857353698	-1.61296632426887	0.308302106145561	26.824297333792	2.22818165449131e-07	3.94467540082069e-05	LOC110733192	NW_018743197.1	662472	676141	+	2361	lncRNA	uncharacterized LOC110733192%2C transcript variant X3 && - && -	-
110706181	976.558544806088	-1.07145663247207	0.208662788831674	26.0543184142219	3.31945560659115e-07	5.29938943242497e-05	LOC110706181	NW_018744931.1	76255	84266	-	3933	protein_coding	protein NLP9-like && sp|O22864|NLP8_ARATH Protein NLP8 OS=Arabidopsis thaliana OX=3702 GN=NLP8 PE=2 SV=1 && PF02042:RWP-RK domain|PF00564:PB1 domain	Nin-like
110696604	147.229277582984	-1.45876728364975	0.291608118274853	24.6095375126553	7.02034140964222e-07	9.12946583380394e-05	LOC110696604	NW_018744367.1	6010427	6014700	-	1945	protein_coding	heptahelical transmembrane protein 4-like && sp|Q9SZG0|HHP4_ARATH Heptahelical transmembrane protein 4 OS=Arabidopsis thaliana OX=3702 GN=HHP4 PE=2 SV=1 && PF03006:Haemolysin-III related	BES1
110695111	1733.51244897577	-1.05355828236698	0.217989004183031	23.0824491340584	1.5520093279211e-06	0.000168375862805098	LOC110695111	NW_018744290.1	885046	893045	+	2617	protein_coding	protein SUPPRESSOR OF FRI 4-like%2C transcript variant X1 && sp|Q9C5G0|SUF4_ARATH Protein SUPPRESSOR OF FRI 4 OS=Arabidopsis thaliana OX=3702 GN=SUF4 PE=1 SV=1 && -	C2H2
110714601	186.625479309843	-1.5457772013483	0.321363545743528	22.7085934742019	1.88522882947102e-06	0.000192308030700819	LOC110714601	NW_018745454.1	1644668	1653407	-	3761	protein_coding	SPX domain-containing membrane protein At4g22990-like%2C transcript variant X1 && sp|Q93ZQ5|SPXM3_ARATH SPX domain-containing membrane protein At4g22990 OS=Arabidopsis thaliana OX=3702 GN=At4g22990 PE=2 SV=2 && PF07690:Major Facilitator Superfamily|PF03105:SPX domain	C3H
110681949	1629.60116373592	-1.01266903540558	0.211462981751633	22.6768793861888	1.91660202315006e-06	0.000193996678492712	LOC110681949	NW_018743574.1	1851358	1858553	+	2681	protein_coding	protein SUPPRESSOR OF FRI 4-like%2C transcript variant X1 && sp|Q9C5G0|SUF4_ARATH Protein SUPPRESSOR OF FRI 4 OS=Arabidopsis thaliana OX=3702 GN=SUF4 PE=1 SV=1 && -	C2H2
110717271	82.4257895207299	-1.08957751741642	0.234573877300432	21.4546245951803	3.6230116635747e-06	0.000301892328438653	LOC110717271	NW_018745675.1	5008277	5012171	-	1241	lncRNA	uncharacterized LOC110717271 && - && -	-
110735502	196.135491597617	-1.12013078991315	0.244532858530785	20.7699553246378	5.17890968326956e-06	0.000388893537267773	LOC110735502	NW_018743284.1	417497	422892	-	2908	protein_coding	cleavage and polyadenylation specificity factor subunit CG7185-like%2C transcript variant X2 && - && PF00076:RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	M-type_MADS
110730610	13.4633580423711	-2.21681842964562	0.487113034306595	20.6796030559056	5.42912638987613e-06	0.000398051288127808	LOC110730610	NW_018743033.1	3012802	3022136	+	2927	protein_coding	uncharacterized LOC110730610%2C transcript variant X2 && - && PF16900:Replication protein A OB domain	-
110699198	18.2447061275144	-3.49290059859208	0.772832290762977	20.3576672567101	6.42351899032291e-06	0.000455362565536014	LOC110699198	NW_018744582.1	909080	911756	+	1816	protein_coding	UDP-glycosyltransferase 76B1-like && sp|Q9C768|U76B1_ARATH UDP-glycosyltransferase 76B1 OS=Arabidopsis thaliana OX=3702 GN=UGT76B1 PE=2 SV=1 && PF00201:UDP-glucoronosyl and UDP-glucosyl transferase	GRAS
110701526	329.916715816511	-2.08797931242872	0.46227094232851	19.8350503830016	8.44203804691704e-06	0.000534748645510601	LOC110701526	NW_018744633.1	6189588	6191079	-	1492	pseudogene	- && - && -	NF-X1
